"Activity1","Activity2","Activity3","Duration","Next_Activity"
"CHANGE DIAGN","FIN","RELEASE",-487077,6
"FIN","RELEASE","CODE OK",-487135,1
"NEW","CHANGE DIAGN","FIN",349357,13
"CHANGE DIAGN","FIN","RELEASE",-138768,6
"FIN","RELEASE","CODE OK",-143688,1
"NEW","CHANGE DIAGN","FIN",-334257,13
"CHANGE DIAGN","FIN","RELEASE",-41708,6
"FIN","RELEASE","CODE OK",31580,1
"NEW","FIN","RELEASE",-34810,6
"FIN","RELEASE","CODE OK",482373,1
"NEW","CHANGE DIAGN","FIN",-573375,13
"CHANGE DIAGN","FIN","RELEASE",-532317,6
"FIN","RELEASE","CODE OK",-3088,1
"NEW","CHANGE DIAGN","FIN",-522712,13
"CHANGE DIAGN","FIN","RELEASE",-575012,6
"FIN","RELEASE","CODE OK",339787,1
"NEW","CHANGE DIAGN","FIN",189370,13
"CHANGE DIAGN","FIN","RELEASE",52848,6
"FIN","RELEASE","CODE OK",535068,1
"NEW","CHANGE DIAGN","FIN",-92238,13
"CHANGE DIAGN","FIN","RELEASE",533190,6
"FIN","RELEASE","CODE OK",36099,1
"NEW","CHANGE DIAGN","FIN",526487,13
"CHANGE DIAGN","FIN","RELEASE",14738,6
"FIN","RELEASE","CODE OK",-536020,1
"NEW","CHANGE DIAGN","FIN",27498,13
"CHANGE DIAGN","FIN","RELEASE",-66421,6
"FIN","RELEASE","CODE OK",6897,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",-126823,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",391349,13
"CHANGE DIAGN","FIN","RELEASE",370309,6
"FIN","RELEASE","CODE OK",526409,1
"NEW","CHANGE DIAGN","FIN",1459,13
"CHANGE DIAGN","FIN","RELEASE",534936,6
"FIN","RELEASE","CODE OK",49321,1
"NEW","FIN","RELEASE",534936,6
"FIN","RELEASE","CODE OK",139582,13
"RELEASE","CODE OK","RELEASE",-569037,6
"CODE OK","RELEASE","CODE OK",-48273,1
"NEW","CHANGE DIAGN","FIN",526240,13
"CHANGE DIAGN","FIN","RELEASE",4544,6
"FIN","RELEASE","CODE OK",-508363,1
"RELEASE","CODE OK","BILLED",20977,16
"CODE OK","BILLED","STORNO",18715,12
"BILLED","STORNO","REJECT",537206,1
"NEW","FIN","RELEASE",14142,6
"FIN","RELEASE","CODE OK",526190,1
"NEW","CHANGE DIAGN","FIN",-374498,13
"CHANGE DIAGN","FIN","RELEASE",149712,6
"FIN","RELEASE","CODE OK",205007,1
"NEW","CHANGE DIAGN","FIN",535822,13
"CHANGE DIAGN","FIN","RELEASE",49091,6
"FIN","RELEASE","CODE OK",-560184,1
"NEW","CHANGE DIAGN","FIN",-529942,13
"CHANGE DIAGN","FIN","RELEASE",-491100,6
"FIN","RELEASE","CODE OK",-443813,1
"NEW","CHANGE DIAGN","FIN",-106417,13
"CHANGE DIAGN","FIN","RELEASE",56146,6
"FIN","RELEASE","CODE OK",-272724,1
"NEW","CHANGE DIAGN","FIN",-14330,13
"CHANGE DIAGN","FIN","RELEASE",532842,6
"FIN","RELEASE","CODE OK",35688,1
"NEW","FIN","RELEASE",134821,6
"FIN","RELEASE","CODE OK",137260,1
"NEW","CHANGE DIAGN","FIN",-168050,13
"CHANGE DIAGN","FIN","RELEASE",-168623,6
"FIN","RELEASE","CODE OK",-47944,1
"NEW","FIN","RELEASE",-124514,6
"FIN","RELEASE","CODE OK",-129123,1
"NEW","FIN","RELEASE",594733,6
"FIN","RELEASE","CODE OK",-78443,1
"NEW","CHANGE DIAGN","FIN",36535,13
"CHANGE DIAGN","FIN","RELEASE",106558,6
"FIN","RELEASE","CODE OK",175326,14
"RELEASE","CODE OK","REOPEN",166984,8
"CODE OK","REOPEN","FIN",70023,13
"REOPEN","FIN","RELEASE",74725,6
"FIN","RELEASE","CODE OK",-198072,1
"NEW","CHANGE DIAGN","FIN",136286,13
"CHANGE DIAGN","FIN","RELEASE",148248,6
"FIN","RELEASE","CODE OK",-174906,1
"NEW","FIN","RELEASE",177513,6
"FIN","RELEASE","CODE OK",130393,1
"NEW","CHANGE DIAGN","FIN",-93113,13
"CHANGE DIAGN","FIN","RELEASE",-234633,6
"FIN","RELEASE","CODE OK",91709,1
"RELEASE","CODE OK","BILLED",1024,6
"NEW","FIN","RELEASE",-114412,6
"FIN","RELEASE","CODE OK",-105756,1
"NEW","CHANGE DIAGN","FIN",212719,13
"CHANGE DIAGN","FIN","RELEASE",-64015,6
"FIN","RELEASE","CODE OK",14864,1
"NEW","CHANGE DIAGN","FIN",136184,13
"CHANGE DIAGN","FIN","RELEASE",168689,6
"FIN","RELEASE","CODE OK",-123251,1
"NEW","FIN","RELEASE",137812,6
"FIN","RELEASE","CODE OK",345010,1
"NEW","FIN","RELEASE",81517,6
"FIN","RELEASE","CODE OK",27899,1
"NEW","CHANGE DIAGN","FIN",-94446,13
"CHANGE DIAGN","FIN","RELEASE",-21292,6
"FIN","RELEASE","CODE OK",112526,1
"NEW","CHANGE DIAGN","FIN",-177189,13
"CHANGE DIAGN","FIN","RELEASE",134769,6
"FIN","RELEASE","CODE OK",137640,1
"NEW","CHANGE DIAGN","FIN",-7950,13
"CHANGE DIAGN","FIN","RELEASE",134736,6
"FIN","RELEASE","CODE OK",137608,1
"NEW","FIN","RELEASE",340,6
"FIN","RELEASE","CODE OK",15727,1
"NEW","FIN","RELEASE",-473851,6
"FIN","RELEASE","CODE OK",-411231,1
"NEW","CHANGE DIAGN","FIN",-71035,13
"CHANGE DIAGN","FIN","RELEASE",-75514,6
"FIN","RELEASE","CODE OK",-530072,1
"NEW","FIN","RELEASE",-52199,6
"FIN","RELEASE","CODE OK",-192549,1
"NEW","CHANGE DIAGN","FIN",396957,13
"CHANGE DIAGN","FIN","RELEASE",503412,6
"FIN","RELEASE","CODE OK",11579,1
"NEW","FIN","RELEASE",134667,6
"FIN","RELEASE","CODE OK",137541,1
"NEW","CHANGE DIAGN","FIN",-145355,13
"CHANGE DIAGN","FIN","RELEASE",134792,6
"FIN","RELEASE","CODE OK",137660,1
"NEW","FIN","RELEASE",-290453,6
"FIN","RELEASE","CODE OK",14388,1
"NEW","CHANGE DIAGN","FIN",64031,13
"CHANGE DIAGN","FIN","RELEASE",122960,6
"FIN","RELEASE","CODE OK",7150,1
"NEW","FIN","RELEASE",-122365,6
"FIN","RELEASE","CODE OK",131680,1
"NEW","CHANGE DIAGN","FIN",-120498,13
"CHANGE DIAGN","FIN","RELEASE",-205882,6
"FIN","RELEASE","CODE OK",-45935,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",143886,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-91608,13
"CHANGE DIAGN","FIN","RELEASE",-94477,6
"FIN","RELEASE","CODE OK",-119347,1
"NEW","CHANGE DIAGN","FIN",-130401,13
"CHANGE DIAGN","FIN","RELEASE",-133663,6
"FIN","RELEASE","CODE OK",-39702,1
"NEW","FIN","RELEASE",363904,6
"FIN","RELEASE","CODE OK",219265,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",-569964,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",40120,13
"CHANGE DIAGN","FIN","RELEASE",40119,6
"FIN","RELEASE","CODE OK",172024,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",-175068,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-177646,13
"CHANGE DIAGN","FIN","RELEASE",-234573,6
"FIN","RELEASE","CODE OK",84270,1
"NEW","CHANGE DIAGN","FIN",101572,13
"CHANGE DIAGN","FIN","RELEASE",0,6
"FIN","RELEASE","CODE OK",8090,1
"NEW","FIN","RELEASE",92777,6
"FIN","RELEASE","CODE OK",11062,1
"RELEASE","CODE OK","BILLED",211750,16
"CODE OK","BILLED","STORNO",-89838,12
"BILLED","STORNO","REJECT",-89930,14
"STORNO","REJECT","REOPEN",-160029,8
"REJECT","REOPEN","FIN",134555,13
"REOPEN","FIN","RELEASE",137489,6
"FIN","RELEASE","CODE OK",42597,1
"NEW","CHANGE DIAGN","FIN",251089,13
"CHANGE DIAGN","FIN","RELEASE",251063,6
"FIN","RELEASE","CODE OK",248297,1
"NEW","CHANGE DIAGN","FIN",-283032,13
"CHANGE DIAGN","FIN","RELEASE",6702,6
"FIN","RELEASE","CODE OK",14526,1
"NEW","FIN","RELEASE",0,6
"FIN","RELEASE","CODE OK",158415,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",21263,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-4890,13
"CHANGE DIAGN","FIN","RELEASE",-4889,6
"FIN","RELEASE","CODE OK",104397,1
"NEW","CHANGE DIAGN","FIN",-100330,13
"CHANGE DIAGN","FIN","RELEASE",-229289,6
"FIN","RELEASE","CODE OK",25997,1
"NEW","CHANGE DIAGN","FIN",217395,14
"CHANGE DIAGN","FIN","REOPEN",-57169,8
"FIN","REOPEN","FIN",-65863,13
"REOPEN","FIN","RELEASE",-140984,6
"FIN","RELEASE","CODE OK",133475,1
"NEW","CHANGE DIAGN","FIN",-173725,13
"CHANGE DIAGN","FIN","RELEASE",-179888,6
"FIN","RELEASE","CODE OK",133376,1
"NEW","FIN","RELEASE",130284,8
"FIN","RELEASE","FIN",137534,13
"RELEASE","FIN","RELEASE",146824,10
"FIN","RELEASE","MANUAL",-135959,7
"NEW","CHANGE DIAGN","FIN",104875,13
"CHANGE DIAGN","FIN","RELEASE",-126260,6
"FIN","RELEASE","CODE OK",-64032,1
"NEW","CHANGE DIAGN","FIN",-160427,13
"CHANGE DIAGN","FIN","RELEASE",-167678,6
"FIN","RELEASE","CODE OK",-185559,1
"NEW","FIN","RELEASE",345027,6
"FIN","RELEASE","CODE OK",-138885,1
"NEW","CHANGE DIAGN","FIN",97232,13
"CHANGE DIAGN","FIN","RELEASE",10650,6
"FIN","RELEASE","CODE OK",569574,14
"RELEASE","CODE OK","REOPEN",566374,8
"CODE OK","REOPEN","FIN",559003,13
"REOPEN","FIN","RELEASE",1,6
"FIN","RELEASE","CODE OK",0,6
"RELEASE","CODE OK","CODE OK",0,14
"CODE OK","CODE OK","REOPEN",35511,8
"CODE OK","REOPEN","FIN",-629046,13
"REOPEN","FIN","RELEASE",-627881,6
"FIN","RELEASE","CODE OK",-530329,1
"NEW","FIN","RELEASE",-177814,6
"FIN","RELEASE","CODE OK",-180681,1
"NEW","CHANGE DIAGN","FIN",345132,13
"CHANGE DIAGN","FIN","RELEASE",-125841,6
"FIN","RELEASE","CODE OK",-128710,1
"RELEASE","CODE OK","BILLED",-336492,16
"CODE OK","BILLED","STORNO",134481,12
"BILLED","STORNO","REJECT",137350,1
"STORNO","REJECT","BILLED",144025,16
"REJECT","BILLED","STORNO",-91246,12
"BILLED","STORNO","REJECT",-94115,1
"NEW","FIN","RELEASE",165767,6
"FIN","RELEASE","CODE OK",-175186,1
"NEW","CHANGE DIAGN","FIN",202578,13
"CHANGE DIAGN","FIN","RELEASE",74692,6
"FIN","RELEASE","CODE OK",-213962,1
"NEW","CHANGE DIAGN","FIN",27025,13
"CHANGE DIAGN","FIN","RELEASE",55296,6
"FIN","RELEASE","CODE OK",-21258,1
"NEW","FIN","RELEASE",-128726,6
"FIN","RELEASE","CODE OK",-202973,1
"NEW","FIN","RELEASE",-55472,6
"FIN","RELEASE","CODE OK",-58581,1
"NEW","FIN","RELEASE",267617,6
"FIN","RELEASE","CODE OK",-61170,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",137653,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",162890,13
"CHANGE DIAGN","FIN","RELEASE",-126122,6
"FIN","RELEASE","CODE OK",-130414,1
"NEW","CHANGE DIAGN","FIN",131972,13
"CHANGE DIAGN","FIN","RELEASE",117602,6
"FIN","RELEASE","CODE OK",53968,1
"RELEASE","CODE OK","BILLED",-85582,16
"CODE OK","BILLED","STORNO",-90842,12
"BILLED","STORNO","REJECT",-4933,1
"NEW","FIN","RELEASE",-135423,6
"FIN","RELEASE","CODE OK",-138292,13
"RELEASE","CODE OK","RELEASE",-149689,6
"CODE OK","RELEASE","CODE OK",129410,1
"NEW","CHANGE DIAGN","FIN",359933,13
"CHANGE DIAGN","FIN","RELEASE",219362,6
"FIN","RELEASE","CODE OK",535351,1
"RELEASE","CODE OK","BILLED",87186,16
"CODE OK","BILLED","STORNO",-505003,1
"BILLED","STORNO","BILLED",21315,16
"STORNO","BILLED","STORNO",-629452,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",55495,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-519429,13
"CHANGE DIAGN","FIN","RELEASE",-7883,6
"FIN","RELEASE","CODE OK",-52381,14
"RELEASE","CODE OK","REOPEN",530966,8
"CODE OK","REOPEN","FIN",35342,13
"REOPEN","FIN","RELEASE",-522001,6
"FIN","RELEASE","CODE OK",-1812,1
"NEW","FIN","RELEASE",-484507,6
"FIN","RELEASE","CODE OK",-533708,1
"NEW","CHANGE DIAGN","FIN",56894,13
"CHANGE DIAGN","FIN","RELEASE",34640,6
"FIN","RELEASE","CODE OK",-567612,14
"RELEASE","CODE OK","REOPEN",-523025,8
"CODE OK","REOPEN","FIN",-594665,13
"REOPEN","FIN","RELEASE",41760,6
"FIN","RELEASE","CODE OK",4320,1
"NEW","CHANGE DIAGN","FIN",14400,13
"CHANGE DIAGN","FIN","RELEASE",-5760,6
"FIN","RELEASE","CODE OK",21600,1
"NEW","FIN","RELEASE",43200,6
"FIN","RELEASE","CODE OK",28802,1
"NEW","FIN","RELEASE",31680,6
"FIN","RELEASE","CODE OK",30240,1
"NEW","FIN","RELEASE",47382,6
"FIN","RELEASE","CODE OK",21238,1
"NEW","FIN","RELEASE",54997,6
"FIN","RELEASE","CODE OK",-518343,1
"NEW","CHANGE DIAGN","FIN",147720,13
"CHANGE DIAGN","FIN","RELEASE",-161011,6
"FIN","RELEASE","CODE OK",359855,1
"NEW","FIN","RELEASE",-498152,5
"FIN","RELEASE","CODE NOK",18491,15
"NEW","FIN","RELEASE",-516868,6
"FIN","RELEASE","CODE OK",-390848,1
"RELEASE","CODE OK","BILLED",-436460,16
"CODE OK","BILLED","STORNO",141085,1
"NEW","CHANGE DIAGN","FIN",1066,13
"CHANGE DIAGN","FIN","RELEASE",493215,6
"FIN","RELEASE","CODE OK",-181347,1
"NEW","CHANGE DIAGN","FIN",43232,13
"CHANGE DIAGN","FIN","RELEASE",-372724,6
"FIN","RELEASE","CODE OK",-378019,1
"NEW","CHANGE DIAGN","FIN",12801,13
"CHANGE DIAGN","FIN","RELEASE",276728,6
"FIN","RELEASE","CODE OK",-44747,1
"NEW","CHANGE DIAGN","FIN",-21637,13
"CHANGE DIAGN","FIN","RELEASE",5312,6
"FIN","RELEASE","CODE OK",13136,1
"NEW","CHANGE DIAGN","FIN",3,13
"CHANGE DIAGN","FIN","RELEASE",1,6
"FIN","RELEASE","CODE OK",249832,1
"NEW","CHANGE DIAGN","FIN",144011,13
"CHANGE DIAGN","FIN","RELEASE",-87108,6
"FIN","RELEASE","CODE OK",-91398,1
"NEW","FIN","RELEASE",-178461,6
"FIN","RELEASE","CODE OK",131693,1
"NEW","CHANGE DIAGN","FIN",-104817,13
"CHANGE DIAGN","FIN","RELEASE",-171328,6
"FIN","RELEASE","CODE OK",73226,1
"NEW","CHANGE DIAGN","FIN",-110237,13
"CHANGE DIAGN","FIN","RELEASE",-308460,6
"FIN","RELEASE","CODE OK",108622,1
"NEW","CHANGE DIAGN","FIN",266896,13
"CHANGE DIAGN","FIN","RELEASE",109248,6
"FIN","RELEASE","CODE OK",76255,1
"NEW","FIN","RELEASE",-443425,6
"FIN","RELEASE","CODE OK",-314837,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",-166599,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",-170884,13
"CHANGE DIAGN","FIN","RELEASE",-298599,6
"FIN","RELEASE","CODE OK",133080,14
"RELEASE","CODE OK","REOPEN",133430,8
"CODE OK","REOPEN","FIN",126145,13
"REOPEN","FIN","RELEASE",143976,6
"FIN","RELEASE","CODE OK",-140555,14
"RELEASE","CODE OK","REOPEN",-144839,8
"CODE OK","REOPEN","FIN",-149470,13
"REOPEN","FIN","RELEASE",134784,6
"FIN","RELEASE","CODE OK",137644,14
"RELEASE","CODE OK","REOPEN",142270,8
"CODE OK","REOPEN","FIN",-133342,13
"REOPEN","FIN","RELEASE",-136211,6
"FIN","RELEASE","CODE OK",-228647,1
"NEW","CHANGE DIAGN","FIN",-55568,13
"CHANGE DIAGN","FIN","RELEASE",-59947,6
"FIN","RELEASE","CODE OK",36681,1
"NEW","CHANGE DIAGN","FIN",54195,13
"CHANGE DIAGN","FIN","RELEASE",60036,5
"FIN","RELEASE","CODE NOK",19443,5
"RELEASE","CODE NOK","CODE NOK",-51422,6
"CODE NOK","CODE NOK","CODE OK",-49980,1
"NEW","FIN","RELEASE",137575,6
"FIN","RELEASE","CODE OK",148308,1
"NEW","CHANGE DIAGN","FIN",127369,13
"CHANGE DIAGN","FIN","RELEASE",359396,6
"FIN","RELEASE","CODE OK",-110511,1
"NEW","CHANGE DIAGN","FIN",138069,13
"CHANGE DIAGN","FIN","RELEASE",52508,6
"FIN","RELEASE","CODE OK",-175164,14
"RELEASE","CODE OK","REOPEN",-93057,8
"CODE OK","REOPEN","FIN",-97171,13
"REOPEN","FIN","RELEASE",130557,6
"FIN","RELEASE","CODE OK",49764,14
"RELEASE","CODE OK","REOPEN",164299,7
"NEW","CHANGE DIAGN","FIN",532795,13
"CHANGE DIAGN","FIN","RELEASE",25641,6
"FIN","RELEASE","CODE OK",-544257,1
"NEW","CHANGE DIAGN","FIN",47040,13
"CHANGE DIAGN","FIN","RELEASE",-562602,6
"FIN","RELEASE","CODE OK",-154063,1
"NEW","FIN","RELEASE",-378554,6
"FIN","RELEASE","CODE OK",140296,1
"NEW","FIN","RELEASE",-518490,6
"FIN","RELEASE","CODE OK",-562191,1
"NEW","CHANGE DIAGN","FIN",41065,13
"CHANGE DIAGN","FIN","RELEASE",263458,6
"FIN","RELEASE","CODE OK",-39424,1
"NEW","CHANGE DIAGN","FIN",13321,13
"CHANGE DIAGN","FIN","RELEASE",-434820,6
"FIN","RELEASE","CODE OK",-443222,1
"NEW","FIN","RELEASE",5753,6
"FIN","RELEASE","CODE OK",5729,1
"NEW","CHANGE DIAGN","FIN",-174269,13
"CHANGE DIAGN","FIN","RELEASE",132046,6
"FIN","RELEASE","CODE OK",138010,1
"NEW","FIN","RELEASE",-166772,6
"FIN","RELEASE","CODE OK",61360,1
"NEW","FIN","RELEASE",-121692,1
"NEW","CHANGE DIAGN","FIN",52565,13
"CHANGE DIAGN","FIN","RELEASE",-136180,6
"FIN","RELEASE","CODE OK",-140473,1
"NEW","CHANGE DIAGN","CHANGE END",40930,8
"CHANGE DIAGN","CHANGE END","FIN",-31142,14
"CHANGE END","FIN","REOPEN",378118,8
"FIN","REOPEN","FIN",342049,13
"REOPEN","FIN","RELEASE",421314,6
"FIN","RELEASE","CODE OK",42481,1
"NEW","CHANGE DIAGN","FIN",61147,13
"CHANGE DIAGN","FIN","RELEASE",69843,6
"FIN","RELEASE","CODE OK",597695,1
"NEW","CHANGE DIAGN","FIN",133086,13
"CHANGE DIAGN","FIN","RELEASE",77012,6
"FIN","RELEASE","CODE OK",143999,1
"NEW","CHANGE DIAGN","FIN",133064,13
"CHANGE DIAGN","FIN","RELEASE",137353,6
"FIN","RELEASE","CODE OK",162833,1
"NEW","CHANGE DIAGN","FIN",143910,13
"CHANGE DIAGN","FIN","RELEASE",-173554,6
"FIN","RELEASE","CODE OK",-179530,1
"NEW","FIN","RELEASE",241916,6
"FIN","RELEASE","CODE OK",508928,1
"NEW","FIN","RELEASE",-490203,6
"FIN","RELEASE","CODE OK",-360437,13
"RELEASE","CODE OK","RELEASE",134499,6
"CODE OK","RELEASE","CODE OK",137351,1
"NEW","FIN","RELEASE",-243216,6
"FIN","RELEASE","CODE OK",64772,1
"NEW","CHANGE DIAGN","FIN",14305,13
"CHANGE DIAGN","FIN","RELEASE",6663,6
"FIN","RELEASE","CODE OK",188137,14
"RELEASE","CODE OK","REOPEN",-85868,8
"CODE OK","REOPEN","FIN",-85928,13
"REOPEN","FIN","RELEASE",-269236,6
"FIN","RELEASE","CODE OK",8990,1
"NEW","CHANGE DIAGN","FIN",21998,13
"CHANGE DIAGN","FIN","RELEASE",164327,6
"FIN","RELEASE","CODE OK",-140438,1
"NEW","CHANGE DIAGN","FIN",128670,13
"CHANGE DIAGN","FIN","RELEASE",25781,6
"FIN","RELEASE","CODE OK",28491,1
"NEW","CHANGE DIAGN","FIN",-151942,13
"CHANGE DIAGN","FIN","RELEASE",-152029,6
"FIN","RELEASE","CODE OK",-144027,1
"NEW","CHANGE DIAGN","FIN",77143,13
"CHANGE DIAGN","FIN","RELEASE",79390,6
"FIN","RELEASE","CODE OK",11873,1
"NEW","CHANGE DIAGN","FIN",-214071,13
"CHANGE DIAGN","FIN","RELEASE",-158628,6
"FIN","RELEASE","CODE OK",132974,1
"NEW","NEW","NEW",-135822,7
"NEW","FIN","RELEASE",594674,6
"FIN","RELEASE","CODE OK",-43675,1
"NEW","CHANGE DIAGN","FIN",-170609,13
"CHANGE DIAGN","FIN","RELEASE",-173477,6
"FIN","RELEASE","CODE OK",-182825,1
"NEW","CHANGE DIAGN","FIN",-131587,13
"CHANGE DIAGN","FIN","RELEASE",-270880,6
"FIN","RELEASE","CODE OK",132660,1
"RELEASE","CODE OK","BILLED",133101,16
"CODE OK","BILLED","STORNO",137343,1
"BILLED","STORNO","BILLED",68802,16
"STORNO","BILLED","STORNO",68361,1
"NEW","FIN","RELEASE",-205757,6
"FIN","RELEASE","CODE OK",-157189,1
"NEW","FIN","RELEASE",162858,6
"FIN","RELEASE","CODE OK",-97041,1
"NEW","FIN","RELEASE",80123,6
"FIN","RELEASE","CODE OK",142208,1
"NEW","CHANGE DIAGN","FIN",63320,13
"CHANGE DIAGN","FIN","RELEASE",68757,6
"FIN","RELEASE","CODE OK",594733,1
"NEW","FIN","RELEASE",68579,6
"FIN","RELEASE","CODE OK",100118,1
"NEW","FIN","RELEASE",3994,6
"FIN","RELEASE","CODE OK",-277776,1
"NEW","CHANGE DIAGN","FIN",117153,13
"CHANGE DIAGN","FIN","RELEASE",131808,6
"FIN","RELEASE","CODE OK",137779,1
"NEW","CHANGE DIAGN","FIN",137363,13
"CHANGE DIAGN","FIN","RELEASE",6514,6
"FIN","RELEASE","CODE OK",6164,1
"NEW","CHANGE DIAGN","CHANGE DIAGN",201982,8
"CHANGE DIAGN","CHANGE DIAGN","FIN",202009,13
"CHANGE DIAGN","FIN","RELEASE",39692,6
"FIN","RELEASE","CODE OK",44495,1
"RELEASE","CODE OK","BILLED",44919,16
"CODE OK","BILLED","STORNO",5418,12
"BILLED","STORNO","REJECT",30085,1
"NEW","FIN","RELEASE",134150,6
"FIN","RELEASE","CODE OK",136250,1
"NEW","CHANGE DIAGN","FIN",-121140,13
"CHANGE DIAGN","FIN","RELEASE",133138,6
"FIN","RELEASE","CODE OK",137424,1
"NEW","FIN","RELEASE",-246797,6
"FIN","RELEASE","CODE OK",130128,1
"NEW","FIN","RELEASE",-71499,6
"FIN","RELEASE","CODE OK",130017,1
"NEW","FIN","RELEASE",-88735,6
"FIN","RELEASE","CODE OK",-218085,1
"NEW","FIN","RELEASE",128993,6
