"Activity1","Activity2","Activity3","Duration","Next_Activity"
1,8,9,1422,8
8,9,8,1196,6
1,8,9,26153,8
8,9,8,26154,6
1,1,8,28804,6
1,8,6,27466,8
8,6,8,21611,6
1,1,8,4248,6
1,8,6,1780,6
1,8,9,5461,8
8,9,8,5461,6
1,8,9,3081,6
1,8,9,13245,6
1,8,9,58904,6
1,9,6,1363,6
1,1,8,42261,6
1,1,8,5665,6
1,8,9,52035,6
1,1,8,7306,6
1,8,9,340,8
8,9,8,341,6
1,1,8,1150,9
1,8,9,1150,9
8,9,9,39858,8
9,9,8,59385,6
1,8,8,1160,6
1,8,9,18561,8
8,9,8,17136,6
1,8,9,10080,8
8,9,8,10079,6
1,8,6,11445,6
1,9,8,25477,6
1,1,8,1181,6
1,1,8,6123,6
1,8,9,49519,6
1,8,6,4457,8
8,6,8,7667,6
1,1,8,1097,6
3,1,8,32057,6
1,8,6,29202,6
1,8,6,1698,6
1,8,9,18495,6
1,8,9,16104,8
8,9,8,15923,6
3,1,8,17324,6
1,8,6,4000,6
1,8,9,43353,6
1,8,9,4467,9
8,9,9,42863,8
9,9,8,42781,6
1,1,8,2834,6
1,8,6,168,6
1,8,9,8701,6
1,1,8,195,6
1,8,9,24367,6
1,8,9,1531,8
8,9,8,1532,6
1,1,8,7092,6
1,8,6,3155,6
1,8,9,28790,8
8,9,8,12898,6
1,8,9,27346,6
1,8,4,24688,6
1,8,6,47965,6
1,8,6,10053,6
1,1,8,7029,6
1,8,9,21301,8
8,9,8,18390,6
1,8,9,57,8
8,9,8,55,6
1,8,9,14694,8
8,9,8,14693,6
1,8,9,22989,8
8,9,8,8699,6
1,1,8,9687,9
1,8,9,31366,6
1,1,8,4339,6
1,8,9,46028,6
1,8,6,26348,6
1,1,8,2998,6
1,8,2,62926,4
8,2,4,63309,6
1,8,9,25731,6
1,8,9,5642,9
8,9,9,14013,8
9,9,8,9789,6
1,8,9,60148,6
1,8,9,16145,6
1,8,6,4150,6
1,8,9,19931,6
1,8,8,11526,9
8,8,9,24214,8
8,9,8,24215,6
1,8,6,39719,8
8,6,8,39780,6
1,8,6,27226,6
1,8,9,14382,6
1,8,9,21764,6
1,8,9,35997,6
1,9,8,19863,9
9,8,9,59002,8
8,9,8,39195,6
1,8,9,11599,6
1,8,9,21914,6
1,8,9,3402,6
1,1,8,10010,6
1,8,9,60420,8
8,9,8,58792,6
1,9,8,235,6
9,8,6,73,8
8,6,8,84,9
6,8,9,3959,8
8,9,8,3920,6
1,8,9,1619,6
1,8,6,1505,6
1,8,8,25712,6
1,8,9,11586,6
1,8,6,7706,8
8,6,8,4464,9
6,8,9,30564,8
8,9,8,28794,6
1,8,9,5633,8
8,9,8,11714,9
9,8,9,21815,8
8,9,8,16226,6
1,8,9,40563,8
8,9,8,331,6
3,1,8,10183,6
1,1,8,30,6
3,1,8,5591,6
1,8,9,42089,6
1,8,9,4688,8
8,9,8,4678,6
1,8,9,25897,8
8,9,8,18235,6
1,1,8,45581,6
3,1,8,1780,6
1,8,9,22930,8
8,9,8,22720,6
1,8,2,56378,6
1,8,9,24530,6
8,9,6,20046,6
1,8,9,33119,8
8,9,8,31684,6
1,1,8,73,6
1,8,9,12342,9
8,9,9,41267,8
9,9,8,28933,6
1,1,8,2401,6
1,8,9,22893,8
8,9,8,22893,6
1,9,8,18703,6
1,8,9,37393,8
8,9,8,50461,6
3,1,8,1,6
1,1,8,23150,6
1,1,8,7500,9
1,8,9,5541,6
1,1,8,11622,6
1,1,8,31842,9
1,8,9,20213,8
8,9,8,20213,6
1,8,9,7214,8
8,9,8,28360,6
1,8,9,7107,8
8,9,8,7138,6
1,9,8,23019,6
1,8,9,51904,8
8,9,8,51924,6
1,1,8,1764,6
1,1,8,40,6
1,8,9,27391,8
8,9,8,4189,6
1,8,6,288,6
1,8,9,1845,9
8,9,9,14664,8
9,9,8,12852,6
1,8,9,8642,8
8,9,8,6101,6
1,1,8,1151,6
1,8,6,12513,6
1,8,9,3130,6
3,1,8,26266,6
1,8,9,47753,8
8,9,8,47741,6
1,8,6,1286,6
1,1,1,3290,8
1,1,8,4226,6
1,8,6,244,8
8,6,8,252,9
6,8,9,37642,8
8,9,8,37398,6
1,8,9,50366,8
8,9,8,50365,6
1,8,8,19,6
1,1,8,11421,6
1,8,6,1171,6
1,8,9,33026,6
1,8,9,30328,8
8,9,8,30332,6
1,8,9,18263,6
8,9,6,18263,6
1,1,8,24810,6
3,1,1,5605,8
1,1,8,243,6
1,8,9,13118,8
8,9,8,37777,6
1,8,9,23186,6
1,1,8,5618,6
1,8,8,6064,9
8,8,9,10160,6
1,8,9,18717,6
3,1,8,3902,6
1,1,8,1339,6
1,8,9,6987,8
8,9,8,6965,6
1,8,6,61777,8
8,6,8,60867,6
6,8,6,60575,6
1,8,6,4685,6
1,1,8,17743,8
1,8,8,27691,6
1,8,9,4199,6
1,8,9,8359,6
1,8,6,32,6
1,8,9,19047,6
1,1,1,34948,8
1,1,8,24383,9
1,8,9,14222,8
8,9,8,14183,9
9,8,9,17070,8
8,9,8,2888,6
1,8,9,47188,6
1,1,8,52,6
1,1,1,63498,1
1,1,1,63496,8
1,1,8,1,6
1,8,9,30039,6
3,1,8,2866,6
1,8,9,55284,6
1,8,9,2403,8
8,9,8,1383,9
9,8,9,23418,6
1,8,9,22933,6
1,8,9,5661,6
1,8,6,17563,8
8,6,8,25654,6
1,1,8,1872,6
3,1,8,1,6
1,1,8,4369,6
1,1,8,22975,6
1,8,2,11374,5
8,2,5,2382,5
2,5,5,31678,6
3,1,8,9989,6
1,8,9,11177,6
1,1,8,31667,8
1,8,8,10029,6
1,8,9,40285,8
8,9,8,22992,6
1,1,8,105,6
1,1,1,19905,8
1,1,8,28691,6
1,8,9,30202,6
1,8,9,11360,6
1,8,9,20435,8
8,9,8,18930,9
9,8,9,29879,6
8,9,6,12690,6
1,8,9,20289,9
8,9,9,18441,6
1,1,8,2958,6
1,8,9,18334,9
8,9,9,22092,8
9,9,8,11649,9
9,8,9,7541,8
8,9,8,2,6
1,8,6,2522,6
8,6,6,1590,8
6,6,8,15918,6
1,8,9,9828,6
1,8,2,59147,6
8,2,6,59147,8
2,6,8,59146,2
6,8,2,4,6
1,8,9,36109,8
8,9,8,194,6
3,1,8,6815,6
1,1,8,106,6
1,8,9,55994,8
8,9,8,54820,6
1,1,8,7050,6
1,8,9,41450,8
8,9,8,41447,6
1,8,9,27542,9
8,9,9,41765,8
9,9,8,23005,6
1,8,9,6965,8
8,9,8,5509,6
1,1,8,10021,9
1,8,9,5715,8
8,9,8,5715,6
1,1,8,27010,6
1,8,6,2699,6
1,8,9,1451,8
8,9,8,1450,6
1,8,4,21706,6
1,8,9,17386,6
1,8,9,43093,6
1,8,8,8350,8
8,8,8,8395,9
8,8,9,8648,9
8,9,9,4606,8
9,9,8,4564,6
1,1,8,1750,6
1,1,1,22,8
1,1,8,25842,9
1,8,9,26012,6
1,9,8,1582,9
9,8,9,1414,8
8,9,8,1307,6
1,8,9,39095,6
1,8,9,25662,8
8,9,8,24604,6
1,8,9,9984,8
8,9,8,4287,6
1,8,9,26294,8
8,9,8,20388,6
1,1,8,3981,6
3,1,8,10571,6
1,1,8,5598,6
1,8,6,28664,8
8,6,8,34794,9
6,8,9,59099,8
8,9,8,34863,6
1,1,8,32757,6
1,8,6,398,6
1,8,9,37457,8
8,9,8,40106,6
1,1,8,1010,6
1,8,6,2743,6
1,8,6,2972,8
8,6,8,1380,6
1,8,9,35708,8
8,9,8,35707,6
1,8,9,22931,8
8,9,8,22927,6
1,8,9,53236,8
8,9,8,53245,6
1,1,8,7513,6
1,8,9,5502,6
3,1,8,18,6
1,8,9,23412,8
8,9,8,20645,6
1,8,9,35679,6
8,9,6,31512,6
1,8,9,28960,6
1,1,8,9704,6
1,1,8,5831,6
1,8,9,47821,8
8,9,8,47820,6
1,1,8,1,2
1,8,2,26184,6
1,8,9,41532,8
8,9,8,41533,6
1,8,9,48804,6
1,8,9,46155,6
1,1,8,1180,9
1,8,9,2895,8
8,9,8,2896,6
1,8,9,1434,8
8,9,8,4142,6
1,8,6,6816,8
8,6,8,983,9
6,8,9,976,8
8,9,8,67,6
1,1,8,1414,9
1,8,9,344,6
1,8,9,24348,8
8,9,8,24348,6
1,8,6,7351,6
1,8,9,11438,8
8,9,8,11439,6
9,8,6,35903,8
8,6,8,27424,9
6,8,9,27698,8
8,9,8,1655,6
1,1,8,7173,9
1,8,9,28706,6
1,8,9,28999,6
1,1,8,42019,9
1,8,9,53311,6
1,1,8,4474,6
1,8,9,29044,6
1,8,9,30043,6
1,1,8,11217,6
1,8,6,186,6
3,1,8,17,9
1,8,9,30559,8
8,9,8,30560,6
1,8,9,11902,6
1,1,8,54,6
1,8,7,7084,8
8,7,8,1374,9
7,8,9,1373,8
8,9,8,1,6
1,8,9,28489,8
8,9,8,28488,6
1,8,6,2842,6
1,8,2,36143,6
8,2,6,39999,8
2,6,8,39122,6
1,1,8,18843,6
1,8,9,20315,8
8,9,8,20311,6
1,8,6,9948,6
1,1,1,2619,8
1,1,8,2577,6
1,8,6,2577,6
1,8,9,31703,9
8,9,9,50776,6
1,8,9,10096,8
8,9,8,18606,8
9,8,8,17389,9
8,8,9,8910,8
8,9,8,404,9
9,8,9,21749,8
8,9,8,21518,6
1,1,8,14438,6
1,8,4,50716,6
1,8,9,30380,8
8,9,8,21669,6
1,8,9,47289,8
8,9,8,19788,9
9,8,9,19889,8
8,9,8,103,9
9,8,9,102,8
8,9,8,0,9
9,8,9,9991,8
8,9,8,9991,6
1,8,9,30307,6
1,9,8,64,6
9,8,6,63,6
1,8,9,20181,8
8,9,8,11515,6
1,1,8,145,9
1,8,9,40677,8
8,9,8,40541,6
1,8,9,40348,8
8,9,8,40347,6
1,9,8,45598,6
9,8,6,45597,6
1,8,9,19995,6
1,8,9,19863,8
8,9,8,8352,2
9,8,2,15815,6
8,2,6,11786,8
2,6,8,12943,6
1,8,6,6922,8
8,6,8,119,6
1,8,9,57696,8
8,9,8,1833,6
1,8,9,1023,8
8,9,8,1017,6
1,8,9,58953,8
8,9,8,58953,6
1,8,6,71,6
1,8,9,24590,8
8,9,8,25557,6
1,1,8,3110,6
1,1,8,1563,9
1,8,9,3244,6
1,1,8,4170,6
1,8,9,43140,8
8,9,8,1123,6
9,8,6,8474,8
8,6,8,8805,6
1,8,9,28542,6
1,1,8,15880,6
1,8,8,23,6
1,8,9,43006,8
8,9,8,3041,6
1,8,6,1612,8
8,6,8,18738,6
1,8,9,19148,8
8,9,8,17574,9
9,8,9,39960,8
8,9,8,39957,6
1,8,9,11284,6
1,8,9,56393,6
1,8,9,16919,8
8,9,8,11413,6
9,8,6,11782,8
8,6,8,370,9
6,8,9,1621,8
8,9,8,1251,2
9,8,2,21161,6
8,2,6,28546,8
2,6,8,28548,6
1,8,9,7320,8
8,9,8,5961,6
1,8,9,28714,9
8,9,9,23522,6
1,8,9,10370,6
1,8,6,6002,6
1,8,9,13053,6
1,8,9,6074,6
1,8,9,21593,8
8,9,8,21428,6
1,1,8,1391,6
1,8,9,111,8
8,9,8,109,6
1,1,8,8956,6
1,1,8,5397,6
1,8,6,58,6
3,1,1,1450,8
1,1,8,1432,9
1,8,9,38849,8
8,9,8,38638,6
3,1,8,1154,6
8,6,8,1448,9
6,8,9,7122,8
8,9,8,7121,6
1,8,8,62243,6
1,8,9,14458,8
8,9,8,14456,6
9,8,6,20011,8
8,6,8,14233,6
1,8,9,64710,8
8,9,8,55984,6
1,8,9,37412,8
8,9,8,37411,6
1,8,9,33116,6
1,8,9,24890,8
8,9,8,24832,6
1,8,6,18429,8
8,6,8,19796,6
1,8,9,2570,8
8,9,8,2608,6
1,8,9,11754,8
8,9,8,7352,6
1,1,8,5907,9
1,8,9,7148,6
1,8,6,2904,6
1,1,8,20066,9
1,8,9,21550,8
8,9,8,15794,9
9,8,9,2565,6
1,8,9,2738,6
1,8,9,28317,8
8,9,8,28320,2
9,8,2,40061,6
1,8,9,29270,6
1,8,9,34218,6
1,8,9,23977,6
3,1,8,30356,6
1,8,9,34573,9
8,9,9,36052,8
9,9,8,11231,6
1,8,9,29952,6
3,1,1,17535,8
1,1,8,17369,9
1,8,9,23127,6
1,1,8,7657,6
1,8,9,31539,6
1,8,6,40491,8
8,6,8,30384,6
1,8,9,19662,8
8,9,8,25945,6
1,8,9,21430,6
1,1,8,20495,9
1,8,9,28736,8
8,9,8,28736,6
1,1,8,2919,6
1,8,9,25981,8
8,9,8,25980,6
1,1,8,24440,9
1,8,9,34538,8
8,9,8,24784,6
1,1,8,6912,6
1,8,9,63513,6
3,1,8,26024,6
1,1,8,18636,9
1,8,9,24466,8
8,9,8,24466,6
1,8,6,29114,6
1,8,9,3974,8
8,9,8,24050,9
9,8,9,26220,8
8,9,8,26150,6
1,8,8,39,6
1,8,9,21127,8
8,9,8,18763,6
1,8,9,6967,6
1,1,8,41756,6
1,8,9,2901,6
1,8,6,3,8
8,6,8,3,6
1,8,9,13,9
8,9,9,1,8
9,9,8,1,6
9,8,6,1,6
8,6,6,5472,6
1,8,9,6135,6
1,8,8,100,6
1,8,9,17011,8
8,9,8,17037,9
9,8,9,8978,8
8,9,8,1627,9
9,8,9,3112,8
8,9,8,1514,6
1,1,1,2481,8
1,1,8,5401,6
1,1,1,967,8
1,1,8,1112,6
1,8,6,28962,8
8,6,8,46181,9
6,8,9,62076,8
8,9,8,33282,6
1,8,9,5829,6
1,8,6,373,6
1,8,8,4433,8
8,8,8,63399,6
1,8,9,23034,6
1,1,8,18548,6
1,1,8,44847,6
1,8,9,4281,8
8,9,8,2,9
9,8,9,36012,8
8,9,8,36010,6
1,8,9,11834,8
8,9,8,17289,6
1,8,9,11566,8
8,9,8,10034,6
1,8,9,57247,8
8,9,8,57254,6
3,1,1,7393,8
1,1,8,14408,9
1,8,9,7382,8
8,9,8,7069,6
1,1,8,71,6
1,1,8,10345,6
1,8,6,10408,8
8,6,8,9734,6
1,8,9,1350,8
8,9,8,282,9
9,8,9,3062,8
8,9,8,2899,9
9,8,9,11118,8
8,9,8,8277,6
9,8,6,10093,8
8,6,8,1856,9
6,8,9,11804,8
8,9,8,9977,6
1,8,9,8783,8
8,9,8,19861,9
9,8,9,43017,8
8,9,8,34243,6
9,8,6,23185,8
8,6,8,307,6
1,1,8,7309,6
1,1,1,11808,8
1,1,8,24785,9
1,8,9,38813,6
1,9,8,12926,9
9,8,9,21251,8
8,9,8,17379,6
1,8,6,1071,6
1,8,6,386,6
1,8,9,12896,6
1,1,8,1,6
1,1,1,1072,8
1,1,8,1093,6
1,8,6,5217,8
8,6,8,4156,2
6,8,2,4124,6
8,2,6,1,8
2,6,8,1,2
6,8,2,15,6
1,1,8,1666,6
1,8,8,2523,6
8,8,6,9623,8
8,6,8,14250,6
1,8,9,24693,6
1,8,9,278,8
8,9,8,87,6
1,1,8,1161,9
1,8,9,9681,8
8,9,8,8674,6
1,1,8,14523,6
1,8,9,28730,6
8,9,6,35898,8
9,6,8,36339,8
6,8,8,14262,6
8,8,6,5829,6
1,1,8,34945,9
1,8,9,28391,8
8,9,8,4011,6
9,8,6,4099,8
8,6,8,91,9
6,8,9,300,8
8,9,8,213,6
1,8,6,382,6
1,8,9,21450,8
8,9,8,21450,6
1,1,8,2856,6
1,8,9,11437,8
8,9,8,11438,6
9,8,6,24026,8
8,6,8,14023,6
1,8,6,5914,6
1,8,9,38534,6
1,8,9,30078,6
1,8,6,282,8
8,6,8,1,2
6,8,2,1,6
8,2,6,0,8
2,6,8,0,2
6,8,2,0,6
1,8,9,6063,8
8,9,8,1815,9
9,8,9,20037,8
8,9,8,18330,6
1,8,6,189,6
1,8,9,11691,6
8,9,6,20028,8
9,6,8,20062,9
6,8,9,18584,6
1,1,8,1312,6
1,9,8,49452,6
1,8,9,16084,8
8,9,8,7503,9
9,8,9,5601,6
1,1,8,4811,9
1,8,9,76,9
8,9,9,75,8
9,9,8,1,6
1,1,1,1237,8
1,1,8,1237,6
1,1,8,50426,6
1,1,1,35901,8
1,1,8,5556,9
1,8,9,7028,8
8,9,8,7028,6
1,8,9,24769,6
1,8,9,26034,6
1,1,8,47831,6
1,1,8,4426,6
1,1,8,24461,6
1,8,9,30628,6
1,8,9,7152,8
8,9,8,5706,6
1,8,9,1452,8
8,9,8,1425,6
3,1,8,20,6
1,8,9,50066,6
1,1,8,2863,9
1,8,9,2817,8
8,9,8,13,9
9,8,9,65,8
8,9,8,63,6
1,8,9,53496,9
8,9,9,57260,6
1,8,9,2858,8
8,9,8,7528,9
9,8,9,41551,8
8,9,8,40326,6
1,8,9,33467,6
1,8,9,986,6
1,8,9,6985,8
8,9,8,6985,6
1,8,8,506,9
8,8,9,43304,8
8,9,8,42808,6
1,1,8,20510,6
1,8,9,23338,6
1,1,8,6986,6
1,1,8,2417,6
3,1,8,7144,6
1,8,6,8806,8
8,6,8,4219,9
6,8,9,23394,8
8,9,8,21739,6
1,8,9,27297,9
8,9,9,27297,9
9,9,9,50035,6
1,8,6,3375,6
1,8,9,28377,8
8,9,8,8607,6
1,9,8,35979,9
9,8,9,33091,8
8,9,8,6986,6
1,8,9,7238,6
3,1,8,1395,6
1,8,6,8531,8
8,6,8,7525,6
1,8,6,31694,8
8,6,8,30091,6
1,8,9,14402,8
8,9,8,1598,6
1,8,9,21904,6
1,1,8,93,6
1,8,6,10041,8
8,6,8,11818,6
1,8,9,11888,6
1,8,9,8708,8
8,9,8,6136,8
9,8,8,3053,6
1,1,8,317,9
1,8,9,10019,6
8,9,6,18867,8
9,6,8,38581,6
1,8,6,144,8
8,6,8,366,2
6,8,2,30575,6
1,8,6,293,8
8,6,8,31920,8
6,8,8,33045,6
3,1,8,95,6
3,1,8,5,2
1,8,2,50514,6
3,1,1,8698,8
1,1,8,8667,6
1,1,8,1123,6
1,1,8,38903,6
1,8,9,57321,6
1,8,9,20111,6
1,8,6,1427,6
1,8,9,22517,9
8,9,9,24809,6
9,9,6,10505,6
1,1,8,60381,6
1,8,9,7212,8
8,9,8,38773,6
1,8,2,57873,6
1,1,8,14391,9
1,8,9,24016,6
1,8,9,321,8
8,9,8,260,6
1,8,9,21905,6
1,8,9,40485,6
1,1,8,60,9
1,8,9,269,8
8,9,8,224,6
9,8,6,4442,8
8,6,8,4379,8
6,8,8,4397,8
8,8,8,4484,6
1,9,8,16,9
9,8,9,1444,8
8,9,8,1438,6
9,8,6,1487,8
8,6,8,49,9
6,8,9,9804,8
8,9,8,9755,6
9,8,6,10097,8
8,6,8,1435,9
6,8,9,18603,8
8,9,8,18262,6
1,8,9,7428,8
8,9,8,18688,6
1,8,9,32742,6
1,8,6,8895,8
8,6,8,8617,6
1,8,9,4087,8
8,9,8,4085,6
1,1,8,23117,9
1,8,9,23417,6
1,1,8,7,6
1,8,9,24421,6
1,8,8,1235,8
8,8,8,1250,6
1,8,9,4220,8
8,9,8,4220,6
1,8,9,25972,8
8,9,8,27180,6
1,9,8,25561,6
1,8,6,198,6
1,8,9,28839,6
3,1,8,7104,6
1,8,9,27424,6
1,1,8,18421,6
1,8,9,11201,8
8,9,8,11506,6
1,8,6,2833,8
8,6,8,38928,6
1,8,8,1059,8
8,8,8,5707,6
8,8,6,15482,8
8,6,8,14425,6
6,8,6,19902,8
8,6,8,10143,8
6,8,8,10435,6
1,8,6,4347,6
1,8,9,8764,6
1,8,6,15890,6
1,8,8,15955,6
1,8,9,22750,6
1,8,6,18342,8
8,6,8,17605,6
1,8,9,4369,6
1,8,9,14455,9
8,9,9,32047,8
9,9,8,21500,6
1,8,6,11671,8
8,6,8,1185,9
6,8,9,28585,8
8,9,8,30568,6
1,8,9,27281,6
1,8,9,1417,6
1,8,9,9820,8
8,9,8,8409,6
1,1,8,18608,6
1,8,6,241,6
1,1,8,7281,6
1,8,8,56,6
1,8,6,20064,8
8,6,8,341,9
6,8,9,3983,8
8,9,8,3963,6
1,1,8,1033,9
1,8,9,9789,8
8,9,8,8795,6
1,1,8,15856,6
1,8,8,8392,9
8,8,9,37890,8
8,9,8,30676,6
9,8,6,31650,8
8,6,8,1105,9
6,8,9,24103,8
8,9,8,22999,6
1,8,9,8401,6
1,1,8,3222,6
1,1,8,24595,6
1,1,8,4266,9
1,8,9,11539,8
8,9,8,11539,6
1,8,8,27,6
1,8,8,19789,6
1,1,8,3983,6
1,8,9,9945,6
1,8,6,17403,8
8,6,8,8529,6
3,1,8,13186,6
1,8,6,45,6
3,1,8,18382,6
1,8,9,13044,6
1,1,8,29223,6
1,1,1,1427,8
1,1,8,1,6
1,8,9,50703,6
1,8,9,30137,6
1,8,6,1398,6
1,8,9,53674,8
8,9,8,51984,6
1,8,6,6034,8
8,6,8,10512,9
6,8,9,16123,8
8,9,8,10091,6
1,8,6,20031,6
1,8,6,2567,8
8,6,8,1444,9
6,8,9,3292,8
8,9,8,1863,9
9,8,9,1853,8
8,9,8,18,9
9,8,9,21552,6
1,1,8,1231,6
1,8,9,31878,6
1,8,9,1400,8
8,9,8,1634,6
1,8,9,4119,8
8,9,8,4119,6
1,8,9,30516,6
1,8,6,6037,6
1,8,9,27239,6
1,9,8,36256,6
1,8,9,39048,6
1,8,9,17398,6
1,8,9,23275,6
1,8,9,43235,8
8,9,8,27666,6
1,9,8,3873,9
9,8,9,3971,8
8,9,8,111,6
3,1,8,1788,9
1,8,9,10292,8
8,9,8,8538,9
9,8,9,31663,8
8,9,8,23164,6
1,8,6,25817,8
8,6,8,17343,6
3,1,8,20056,6
1,8,9,37491,8
8,9,8,37448,6
1,8,9,41770,6
1,8,9,35671,8
8,9,8,36053,9
9,8,9,51553,6
3,1,8,19,6
1,8,9,25926,6
1,9,8,8603,6
1,9,9,19145,6
1,8,8,54992,6
1,8,9,1023,8
8,9,8,1023,6
9,8,6,1069,8
8,6,8,55,9
6,8,9,27406,8
8,9,8,27351,6
1,8,6,406,6
1,1,8,5617,6
1,8,9,20151,8
8,9,8,14474,9
9,8,9,17618,6
1,8,2,57871,6
1,1,8,21706,6
1,8,9,50331,6
1,8,9,11125,9
8,9,9,11125,9
9,9,9,9661,9
9,9,9,30132,6
1,1,8,1654,9
1,8,9,6052,8
8,9,8,5600,6
3,1,8,20,6
1,1,8,109,6
1,1,8,138,6
1,8,8,8663,6
1,8,6,1171,6
1,8,2,57215,6
1,8,9,47920,8
8,9,8,21862,6
1,8,8,21671,6
1,8,6,4131,6
1,8,9,34770,6
1,8,9,36277,8
8,9,8,37704,6
1,8,9,37863,6
1,1,8,11769,6
3,1,8,14,6
1,8,4,61994,8
8,4,8,60349,9
4,8,9,52919,6
1,8,9,12871,8
8,9,8,21483,9
9,8,9,24461,8
8,9,8,14323,6
1,8,9,12544,8
8,9,8,10105,6
1,8,6,5753,6
1,8,6,10389,8
8,6,8,8662,6
3,1,8,17611,6
3,1,1,316,1
1,1,1,3053,8
1,1,8,3048,6
1,1,8,8320,6
1,9,9,2949,8
9,9,8,2487,6
1,8,9,18777,6
1,8,9,38963,8
8,9,8,32061,6
1,8,6,15999,8
8,6,8,4620,9
6,8,9,15539,8
8,9,8,11304,6
1,8,9,319,8
8,9,8,317,6
1,1,1,34446,8
1,1,8,22663,6
1,8,9,21624,8
8,9,8,21624,6
1,8,9,29972,8
8,9,8,29973,6
1,8,9,13995,8
8,9,8,13994,6
1,8,9,27391,6
1,8,9,10106,6
1,8,6,20450,8
8,6,8,42426,6
1,1,8,44,6
1,8,6,3920,8
8,6,8,3947,6
1,8,9,20304,6
1,8,9,54456,6
1,8,6,9668,6
3,1,8,1200,6
1,8,6,207,8
8,6,8,373,9
6,8,9,4307,8
8,9,8,4205,6
3,1,8,28,6
1,1,8,342,6
1,1,1,13169,8
1,1,8,27233,6
1,8,9,8381,8
8,9,8,27081,6
1,8,9,1403,8
8,9,8,1067,6
1,1,8,4197,6
1,1,1,7598,1
1,1,1,7598,8
1,1,8,11560,9
1,8,9,11200,8
8,9,8,11200,6
1,1,8,1151,6
1,8,9,2725,8
8,9,8,4284,9
9,8,9,8679,6
1,8,8,24876,6
1,8,9,59119,8
8,9,8,59114,6
1,8,6,61,6
1,8,9,31356,6
1,8,9,10498,8
8,9,8,12955,9
9,8,9,24535,8
8,9,8,14057,6
3,1,8,19147,6
1,8,6,8725,8
8,6,8,47559,6
1,8,9,14201,8
8,9,8,22571,9
9,8,9,45693,6
1,8,9,36061,6
1,1,8,8810,6
1,8,9,47034,8
8,9,8,20002,6
1,8,9,8510,8
8,9,8,8531,6
1,1,8,1545,6
1,8,9,21677,9
