"Activity1","Activity2","Activity3","Duration","Next_Activity","V6","V7"
1,9,8,9,8,3981,6
9,8,9,8,6,17202,8
8,9,8,6,8,13307,9
9,8,6,8,9,26231,8
8,6,8,9,8,26159,6
1,8,9,8,9,43300,6
1,1,8,6,8,5383,6
1,8,9,9,8,60087,6
1,8,6,8,9,31710,6
1,8,8,9,9,23086,8
8,8,9,9,8,23087,6
1,8,9,9,8,19865,6
1,8,9,8,9,36040,8
8,9,8,9,8,36039,6
1,8,8,9,8,44731,6
1,8,4,4,4,25741,6
1,8,9,8,9,18920,6
1,8,9,8,6,31749,6
1,8,9,9,8,3896,6
1,1,1,8,9,60069,8
1,1,8,9,8,60069,6
1,8,9,8,9,14394,6
1,1,8,6,8,14432,9
1,8,6,8,9,24557,8
8,6,8,9,8,24680,6
6,8,9,8,6,17417,8
8,9,8,6,8,17378,9
9,8,6,8,9,19804,8
8,6,8,9,8,5907,6
1,1,8,9,8,31989,6
3,1,1,1,8,58140,6
1,8,8,8,9,33096,8
8,8,8,9,8,33094,6
1,8,9,8,9,7052,8
8,9,8,9,8,7051,6
1,8,6,8,6,15977,8
8,6,8,6,8,26348,2
6,8,6,8,2,49390,6
1,8,8,8,9,44400,8
8,8,8,9,8,44284,6
1,1,8,9,8,3102,6
1,1,8,9,8,39029,9
1,8,9,8,9,60384,6
1,8,9,9,8,14399,9
8,9,9,8,9,23988,9
9,9,8,9,9,34687,8
9,8,9,9,8,34305,8
8,9,9,8,8,21325,8
9,9,8,8,8,28927,6
1,1,8,9,8,5761,6
1,8,6,8,9,8699,8
8,6,8,9,8,8674,6
3,1,8,9,8,374,9
1,8,9,8,9,1409,8
8,9,8,9,8,1405,6
1,8,6,8,9,7345,8
8,6,8,9,8,7344,6
3,1,1,8,9,24465,8
1,1,8,9,8,14573,6
1,8,6,6,6,194,8
8,6,6,6,8,8416,6
1,1,8,9,8,18449,6
1,8,9,8,9,24829,8
8,9,8,9,8,24823,6
1,1,8,9,8,41919,6
1,8,9,8,9,10077,8
8,9,8,9,8,10198,9
9,8,9,8,9,14374,8
8,9,8,9,8,8614,6
1,1,8,6,8,20369,6
3,1,8,9,8,21624,6
1,8,9,8,9,28459,8
8,9,8,9,8,27397,6
1,1,8,6,6,46176,6
3,1,8,6,8,8285,9
1,8,6,8,9,52942,8
8,6,8,9,8,52834,6
1,1,8,9,8,18914,6
1,8,9,8,9,1261,8
8,9,8,9,8,1261,6
9,8,9,8,6,22768,8
8,9,8,6,8,22838,9
9,8,6,8,9,49132,8
8,6,8,9,8,47899,6
1,8,6,8,9,5824,8
8,6,8,9,8,5700,6
1,1,1,8,9,25883,8
1,1,8,9,8,25890,6
1,8,9,8,9,11779,6
1,8,9,9,8,6996,6
1,8,9,9,8,5460,6
1,8,9,8,9,34259,6
1,8,9,8,6,25578,8
8,9,8,6,8,29854,6
1,1,1,8,9,8280,8
1,1,8,9,8,5900,9
1,8,9,8,9,7643,8
8,9,8,9,8,7643,6
1,1,1,8,9,31729,8
1,1,8,9,8,31720,6
1,8,9,9,8,23025,9
8,9,9,8,9,28600,8
9,9,8,9,8,5673,2
9,8,9,8,2,5824,6
1,8,9,8,9,8793,6
1,8,9,8,9,25443,8
8,9,8,9,8,25443,6
1,1,8,9,8,54718,6
1,8,9,8,9,35862,6
