"Activity1","Activity2","Activity3","Duration","Next_Activity","V6"
1,1,8,9,21558,8
1,8,9,8,21556,9
8,9,8,9,16861,6
1,8,9,8,28321,2
8,9,8,2,49992,6
1,8,9,9,36053,8
8,9,9,8,36052,6
3,1,1,8,17541,9
1,1,8,9,23128,6
1,8,6,8,40496,6
1,8,9,8,28520,6
1,1,8,9,39110,8
1,8,9,8,28736,6
1,8,9,8,25981,6
1,1,8,9,34614,8
1,8,9,8,34539,6
1,1,8,9,34584,8
1,8,9,8,24467,6
1,8,9,8,24050,9
8,9,8,9,30124,8
9,8,9,8,26220,6
1,8,9,8,21127,6
1,8,6,8,4,6
1,8,9,9,14,8
8,9,9,8,1,6
9,9,8,6,1,6
9,8,6,6,5473,6
1,8,9,8,17037,9
8,9,8,9,18636,8
9,8,9,8,8980,9
8,9,8,9,3138,8
9,8,9,8,3113,6
1,1,1,8,5496,6
1,1,1,8,1134,6
1,1,8,6,29907,8
1,8,6,8,46181,9
8,6,8,9,62243,8
6,8,9,8,62077,6
1,8,8,8,63401,6
1,8,9,8,4281,9
8,9,8,9,36012,8
9,8,9,8,36012,6
1,8,9,8,17418,6
1,8,9,8,11566,6
1,8,9,8,57255,6
3,1,1,8,14413,9
1,1,8,9,14456,8
1,8,9,8,7383,6
1,1,8,6,10408,8
1,8,6,8,11412,6
1,8,9,8,1395,9
8,9,8,9,3125,8
9,8,9,8,3073,9
8,9,8,9,11163,8
9,8,9,8,11120,6
8,9,8,6,10104,8
9,8,6,8,10120,9
8,6,8,9,11806,8
6,8,9,8,11804,6
1,8,9,8,19861,9
8,9,8,9,43024,8
9,8,9,8,43019,6
8,9,8,6,34263,8
9,8,6,8,23470,6
1,1,1,8,24785,9
1,1,8,9,48845,6
1,9,8,9,30214,8
9,8,9,8,21252,6
1,1,1,8,1104,6
1,1,8,6,5217,8
1,8,6,8,5217,2
8,6,8,2,4156,6
6,8,2,6,4125,8
8,2,6,8,1,2
2,6,8,2,15,6
1,8,8,6,9625,8
8,8,6,8,14255,6
1,8,9,8,278,6
1,1,8,9,9682,8
1,8,9,8,9684,6
1,8,9,6,37163,8
8,9,6,8,36398,8
9,6,8,8,41668,6
6,8,8,6,14262,6
1,1,8,9,38953,8
1,8,9,8,28394,6
8,9,8,6,4099,8
9,8,6,8,4099,9
8,6,8,9,303,8
6,8,9,8,301,6
1,8,9,8,21450,6
1,8,9,8,11438,6
8,9,8,6,25402,8
9,8,6,8,24084,6
1,8,6,8,282,2
8,6,8,2,1,6
6,8,2,6,1,8
8,2,6,8,0,2
2,6,8,2,0,6
1,8,9,8,6103,9
8,9,8,9,20105,8
9,8,9,8,20037,6
1,8,9,6,20028,8
8,9,6,8,20069,9
9,6,8,9,30268,6
1,8,9,8,19032,9
8,9,8,9,9896,6
1,1,8,9,4811,9
1,8,9,9,76,8
8,9,9,8,76,6
1,1,1,8,1238,6
1,1,1,8,41457,9
1,1,8,9,7028,8
1,8,9,8,7028,6
1,8,9,8,7152,6
1,8,9,8,1453,6
1,1,8,9,2865,8
1,8,9,8,2828,9
8,9,8,9,65,8
9,8,9,8,65,6
1,8,9,9,57402,6
1,8,9,8,7529,9
8,9,8,9,43182,8
9,8,9,8,41552,6
1,8,9,8,6985,6
1,8,8,9,43305,8
8,8,9,8,43305,6
3,1,8,6,8807,8
1,8,6,8,9990,9
8,6,8,9,24766,8
6,8,9,8,23402,6
1,8,9,9,27297,9
8,9,9,9,50400,6
1,8,9,8,28377,6
1,9,8,9,42964,8
9,8,9,8,33092,6
3,1,8,6,8841,8
1,8,6,8,8610,6
1,8,6,8,35997,6
1,8,9,8,14402,6
1,8,6,8,11827,6
1,8,9,8,8717,8
8,9,8,8,7444,6
1,1,8,9,10024,6
1,8,9,6,18867,8
8,9,6,8,38893,6
1,8,6,8,374,2
8,6,8,2,30575,6
1,8,6,8,31952,8
8,6,8,8,33056,6
3,1,8,2,50518,6
3,1,1,8,8701,6
1,8,9,9,33022,6
8,9,9,6,24809,6
1,8,9,8,38963,6
1,1,8,9,34086,6
1,8,9,8,321,6
1,1,8,9,269,8
1,8,9,8,270,6
8,9,8,6,4456,8
9,8,6,8,4588,8
8,6,8,8,4398,8
6,8,8,8,8716,6
1,9,8,9,1454,8
9,8,9,8,1444,6
8,9,8,6,1487,8
9,8,6,8,1487,9
8,6,8,9,9804,8
6,8,9,8,9804,6
8,9,8,6,10097,8
9,8,6,8,11190,9
8,6,8,9,18603,8
6,8,9,8,18604,6
1,8,9,8,21467,6
1,8,6,8,8972,6
1,8,9,8,4087,6
1,1,8,9,31769,6
1,8,8,8,1251,6
1,8,9,8,4221,6
1,8,9,8,27442,6
1,8,9,8,11518,6
1,8,6,8,39029,6
1,8,8,8,5708,6
8,8,8,6,15482,8
8,8,6,8,15483,6
8,6,8,6,24551,8
6,8,6,8,19918,8
8,6,8,8,10436,6
1,8,6,8,18572,6
1,8,9,9,35955,8
8,9,9,8,32047,6
1,8,6,8,11671,9
8,6,8,9,28630,8
6,8,9,8,31708,6
1,8,9,8,9821,6
1,8,6,8,20064,9
8,6,8,9,4304,8
6,8,9,8,3983,6
1,1,8,9,9791,8
1,8,9,8,9789,6
1,8,8,9,38938,8
8,8,9,8,37890,6
8,9,8,6,31780,8
9,8,6,8,31651,9
8,6,8,9,24103,8
6,8,9,8,24103,6
1,1,8,9,15377,8
1,8,9,8,11539,6
1,8,6,8,17643,6
1,1,1,8,1427,6
1,8,9,8,53675,6
1,8,6,8,10512,9
8,6,8,9,16124,8
6,8,9,8,16124,6
1,8,6,8,2577,9
8,6,8,9,3296,8
6,8,9,8,3293,9
8,9,8,9,1863,8
9,8,9,8,1870,9
8,9,8,9,21553,6
1,8,9,8,1634,6
1,8,9,8,4119,6
1,8,9,8,43444,6
1,9,8,9,3983,8
9,8,9,8,3971,6
3,1,8,9,10292,8
1,8,9,8,10326,9
8,9,8,9,31663,8
9,8,9,8,31668,6
1,8,6,8,25979,6
1,8,9,8,37492,6
1,8,9,8,36065,9
8,9,8,9,64633,6
1,8,9,8,1023,6
8,9,8,6,1078,8
9,8,6,8,1069,9
8,6,8,9,27406,8
6,8,9,8,27406,6
1,8,9,8,33049,9
8,9,8,9,19070,6
1,8,9,9,11125,9
8,9,9,9,18225,9
9,9,9,9,32693,6
1,1,8,9,7170,8
1,8,9,8,6052,6
1,8,9,8,47920,6
1,8,9,8,37704,6
1,8,4,8,61994,9
8,4,8,9,61877,6
1,8,9,8,21483,9
8,9,8,9,27193,8
9,8,9,8,24462,6
1,8,9,8,12545,6
1,8,6,8,10448,6
3,1,1,1,3058,8
1,1,1,8,3053,6
1,9,9,8,2949,6
1,8,9,8,39067,6
1,8,6,8,16060,9
8,6,8,9,15857,8
6,8,9,8,15545,6
1,8,9,8,319,6
1,1,1,8,34446,6
1,8,9,8,21624,6
1,8,9,8,29973,6
1,8,9,8,13995,6
1,8,6,8,46644,6
1,8,6,8,3947,6
3,1,8,6,1302,8
1,8,6,8,421,9
8,6,8,9,4364,8
6,8,9,8,4307,6
1,1,1,8,27298,6
1,8,9,8,27084,6
1,8,9,8,1403,6
1,1,1,1,7599,8
1,1,1,8,17296,9
1,1,8,9,13061,8
1,8,9,8,11201,6
1,8,9,8,4285,9
8,9,8,9,9803,6
1,8,9,8,59119,6
1,8,9,8,12955,9
8,9,8,9,24555,8
9,8,9,8,24535,6
1,8,6,8,48798,6
1,8,9,8,24123,9
8,9,8,9,47054,6
1,8,9,8,47035,6
1,8,9,8,8531,6
1,8,9,9,21677,9
8,9,9,9,19133,6
1,8,9,8,37409,6
1,1,8,9,1122,8
1,8,9,8,1019,6
1,8,8,8,4643,6
1,1,8,9,25952,8
1,8,9,8,11713,6
1,8,6,8,43025,9
8,6,8,9,35609,8
6,8,9,8,35606,6
1,8,9,9,14406,9
8,9,9,9,42861,8
9,9,9,8,40103,6
1,8,9,9,40055,6
1,1,1,8,28322,9
1,1,8,9,11281,6
1,8,6,8,36358,6
1,8,6,8,24616,6
1,8,9,8,2691,6
1,1,8,9,1750,8
1,8,9,8,1748,6
1,8,9,8,1655,6
1,8,9,8,29894,6
1,8,6,8,4137,6
8,6,8,6,4117,8
6,8,6,8,2985,9
8,6,8,9,31777,8
6,8,9,8,31774,6
1,8,9,6,38521,8
8,9,6,8,34387,9
9,6,8,9,46177,6
1,8,6,8,18732,6
1,8,9,8,1395,6
3,1,8,9,43099,8
1,8,9,8,47467,6
1,8,6,8,56115,6
1,8,9,6,8612,6
1,8,9,8,12659,6
1,8,9,8,32165,6
1,8,9,8,30212,6
1,8,9,8,64609,6
1,8,6,9,38651,6
1,8,9,8,8693,6
1,8,9,8,18521,6
1,8,9,8,2955,6
1,8,9,8,7236,6
1,8,6,8,27352,6
1,8,6,8,7517,9
8,6,8,9,7517,8
6,8,9,8,7516,6
1,8,9,8,43156,6
1,1,8,9,4213,8
1,8,9,8,9834,9
8,9,8,9,31269,8
9,8,9,8,31202,6
1,1,8,9,47482,6
1,8,9,8,7576,6
1,8,9,8,26361,6
1,8,9,9,21145,6
1,8,8,9,43119,6
3,1,1,8,21731,6
1,1,8,9,175,8
1,8,9,8,174,6
1,8,9,8,39170,6
8,9,8,6,33311,6
3,1,1,8,6866,6
1,8,9,8,24446,6
8,9,8,6,31943,8
9,8,6,8,27430,6
1,8,2,8,26227,9
8,2,8,9,60499,6
1,1,8,9,40000,8
1,8,9,8,38444,6
1,8,9,8,15928,6
1,8,9,8,25835,6
1,9,8,6,1443,6
1,8,8,9,9886,8
8,8,9,8,8580,6
1,8,9,8,8741,6
1,8,9,8,26385,9
8,9,8,9,51982,6
1,8,9,8,18394,6
8,9,8,6,18393,6
1,1,1,8,124,6
1,8,9,8,19087,6
1,8,6,8,2870,6
1,8,6,8,30069,6
8,6,8,6,19917,6
1,8,9,8,8719,6
1,1,1,8,3860,6
1,8,9,8,8310,6
1,8,9,9,29833,8
8,9,9,8,11077,6
1,8,9,9,11640,6
8,9,9,6,8688,6
1,8,6,8,2979,6
1,8,9,8,2669,6
1,8,9,8,10058,6
1,8,9,8,44465,6
1,8,9,8,5839,6
1,8,6,8,28777,6
1,8,9,8,32025,6
3,1,8,6,27652,8
1,8,6,8,31926,6
8,6,8,6,31908,6
1,8,9,8,19803,6
1,8,9,6,31707,6
1,8,9,8,15747,6
3,1,8,1,2694,1
1,8,1,1,2858,9
8,1,1,9,1298,8
1,1,9,8,187,6
1,8,9,9,40597,6
1,1,8,6,3188,6
3,1,8,9,56478,9
1,8,9,9,63631,8
8,9,9,8,63181,6
1,8,9,8,8301,8
8,9,8,8,963,6
1,8,9,8,10143,6
1,8,9,9,28759,8
8,9,9,8,25951,6
3,1,1,8,19008,9
1,1,8,9,20083,8
1,8,9,8,11358,6
1,1,1,8,19961,9
1,1,8,9,30064,6
1,8,9,8,4020,6
1,8,9,8,24304,6
1,1,1,9,3882,8
1,1,9,8,61755,6
1,8,9,9,30268,8
8,9,9,8,40140,6
1,8,9,8,38928,6
1,8,9,8,22892,6
1,8,9,9,58954,6
1,8,9,8,27442,6
1,8,6,8,12900,6
1,8,9,6,24581,6
3,1,1,9,442,8
1,1,9,8,1317,6
1,9,8,6,5583,8
9,8,6,8,5522,6
1,8,8,2,80535,6
1,8,9,8,11872,6
8,9,8,6,11508,6
1,1,8,9,41931,8
1,8,9,8,33469,6
1,8,6,8,9048,9
8,6,8,9,13152,8
6,8,9,8,9779,6
1,8,9,8,20080,6
8,9,8,6,19834,8
9,8,6,8,19825,6
1,8,2,2,30270,6
1,8,9,8,37151,6
1,8,9,8,1633,6
1,8,8,4,38797,6
1,8,9,8,4863,6
1,1,8,6,55015,6
1,8,9,8,15723,6
1,8,8,9,21494,8
8,8,9,8,21386,6
1,8,9,8,10413,6
3,1,1,1,7223,8
1,1,1,8,15883,6
1,8,6,8,28855,6
1,8,9,8,94,6
8,9,8,6,21516,8
9,8,6,8,30256,6
1,1,8,9,11251,8
1,8,9,8,7191,6
1,8,9,8,9923,6
1,8,8,8,2855,6
1,8,9,8,11348,6
1,8,2,4,55011,6
1,1,8,2,9821,5
1,8,2,5,23027,6
3,1,1,1,5372,1
1,1,1,1,5368,8
1,1,1,8,5368,6
1,1,8,9,31844,8
1,8,9,8,31473,6
1,8,9,8,50642,6
1,8,8,9,15962,8
8,8,9,8,15558,6
1,1,1,8,3273,6
1,8,9,8,2618,6
1,8,9,8,34840,6
3,1,8,9,51675,8
1,8,9,8,51675,6
1,8,9,8,18944,6
1,8,9,8,9066,6
8,9,8,6,28682,6
1,8,6,8,2672,9
8,6,8,9,2751,8
6,8,9,8,3990,6
1,8,9,8,24497,6
1,1,8,6,4513,6
1,1,8,9,14477,9
1,8,9,9,60787,6
1,1,8,8,362,6
3,1,8,9,50307,8
1,8,9,8,50307,6
1,1,8,6,183,6
1,8,9,8,58846,6
1,8,9,8,48969,6
1,8,4,4,38740,8
8,4,4,8,44905,6
4,4,8,6,34831,6
1,8,9,9,41639,8
8,9,9,8,41657,6
1,8,9,8,8970,6
1,1,8,9,24047,8
1,8,9,8,20133,6
1,8,9,8,4486,6
1,1,8,9,16902,8
1,8,9,8,58,6
1,8,9,8,3371,6
1,8,9,8,30123,6
1,8,9,8,30122,9
8,9,8,9,40109,8
9,8,9,8,40110,6
1,8,9,6,25840,6
1,8,9,8,1068,6
1,8,9,8,14465,6
1,8,9,8,38743,6
1,8,6,8,201,6
1,8,9,8,5824,6
1,8,2,8,1423,9
8,2,8,9,40241,6
1,8,6,8,4286,2
8,6,8,2,4560,6
1,1,8,9,11946,8
1,8,9,8,11946,6
1,8,9,8,31795,9
8,9,8,9,38864,6
1,1,8,9,26326,9
1,8,9,9,15422,8
8,9,9,8,15422,6
1,8,6,8,6088,6
1,1,8,9,25879,8
1,8,9,8,4250,6
1,8,8,9,38878,8
8,8,9,8,38877,6
1,9,8,6,6774,6
1,8,9,8,155,6
1,8,9,9,23221,8
8,9,9,8,22956,6
1,1,8,9,20515,8
1,8,9,8,6183,6
1,8,9,8,2543,6
1,8,9,8,1621,6
8,9,8,6,48828,8
9,8,6,8,48824,6
1,1,1,8,4172,6
1,8,9,8,38329,6
1,8,9,8,10379,6
1,8,6,8,25735,6
1,8,9,8,9999,6
1,1,8,9,60630,8
1,8,9,8,60627,6
1,8,9,8,1374,6
1,8,9,8,4512,9
8,9,8,9,8801,8
9,8,9,8,8801,6
1,8,6,8,11309,9
8,6,8,9,34662,8
6,8,9,8,34637,6
1,1,8,9,36090,8
1,8,9,8,18393,6
1,8,9,8,41993,6
1,8,8,9,14338,8
8,8,9,8,14336,6
1,1,8,9,24383,8
1,8,9,8,24399,6
1,8,9,8,31505,6
1,8,6,8,29808,6
1,1,1,8,10115,6
1,8,9,8,58549,6
1,8,9,8,1303,9
8,9,8,9,35906,6
9,8,9,6,35902,6
3,1,1,8,1548,9
1,1,8,9,37317,8
1,8,9,8,36097,6
1,1,9,8,7515,6
1,8,8,9,25727,9
8,8,9,9,29020,8
8,9,9,8,8665,6
1,8,6,8,6071,6
1,8,6,8,28440,6
1,8,9,8,17711,6
1,1,8,7,29106,6
1,9,8,9,9787,8
9,8,9,8,6889,6
1,1,1,1,5646,6
1,1,1,6,15499,8
1,1,6,8,14203,6
3,1,1,8,32805,6
1,8,9,8,37438,6
8,9,8,6,37427,6
1,9,8,9,3980,8
9,8,9,8,3969,6
8,9,8,6,13307,8
9,8,6,8,13307,9
8,6,8,9,26158,8
6,8,9,8,26158,6
1,8,9,8,33262,9
8,9,8,9,43268,6
1,1,8,6,5382,8
1,8,6,8,5291,6
1,1,8,9,50895,6
1,8,9,8,33304,6
1,8,9,9,60087,8
8,9,9,8,60075,6
1,8,6,8,13067,9
8,6,8,9,30255,6
1,8,8,9,10473,9
8,8,9,9,23085,8
8,9,9,8,21561,6
1,8,9,9,11564,8
8,9,9,8,10075,6
1,8,9,8,31687,9
8,9,8,9,36039,8
9,8,9,8,36029,6
1,8,9,8,2911,6
1,8,6,8,28745,6
1,8,8,9,44731,8
8,8,9,8,44636,6
1,8,4,4,25740,4
8,4,4,4,24793,6
1,8,9,8,25842,6
1,8,9,8,54691,6
1,8,9,8,18647,9
8,9,8,9,17559,6
1,8,9,8,31712,6
8,9,8,6,31749,6
1,8,9,8,11625,6
1,8,9,9,80,8
8,9,9,8,3820,6
1,1,1,8,87,9
1,1,8,9,60069,8
1,8,9,8,60052,6
1,8,9,8,14174,9
8,9,8,9,14394,6
1,1,8,6,14052,8
1,8,6,8,8825,9
8,6,8,9,24556,8
6,8,9,8,16275,6
8,9,8,6,17378,8
9,8,6,8,16998,9
8,6,8,9,4072,8
6,8,9,8,5783,6
1,1,8,9,31989,8
1,8,9,8,21776,6
1,8,9,8,19829,6
1,8,9,8,1525,6
1,8,9,8,22771,6
3,1,1,1,58140,8
1,1,1,8,58140,6
1,8,9,8,24899,6
1,8,4,2,18878,6
1,8,9,8,35674,6
1,8,9,8,7278,6
1,8,6,8,14419,6
1,8,6,8,4518,6
1,8,9,8,17031,6
1,8,8,8,1706,9
8,8,8,9,33094,8
8,8,9,8,33078,6
1,8,9,8,1244,6
1,8,9,8,6832,9
8,9,8,9,7051,8
9,8,9,8,221,6
1,8,6,8,9119,6
8,6,8,6,7282,8
6,8,6,8,26347,2
8,6,8,2,49389,6
1,8,8,8,24336,9
8,8,8,9,44284,8
8,8,9,8,44284,6
1,1,8,9,3100,8
1,8,9,8,3102,6
1,8,9,8,37576,6
1,1,8,9,39029,8
1,8,9,8,38935,9
8,9,8,9,34754,6
1,8,9,9,14399,8
8,9,9,8,14387,9
9,9,8,9,23988,9
9,8,9,9,33287,8
8,9,9,8,21318,8
9,9,8,8,21325,8
9,8,8,8,19326,6
1,8,6,8,11698,6
1,8,9,8,49164,6
1,8,9,8,5611,6
1,8,8,7,28908,6
1,8,9,8,5801,6
1,1,8,9,5761,8
1,8,9,8,4724,6
1,8,9,8,7697,6
1,8,6,8,1560,9
8,6,8,9,8672,8
6,8,9,8,8674,6
3,1,8,9,373,8
1,8,9,8,369,9
8,9,8,9,1399,8
9,8,9,8,1404,6
1,8,6,8,40745,6
1,8,9,8,7469,6
1,8,9,8,17284,6
1,8,9,8,1262,6
1,8,6,8,7344,9
8,6,8,9,7344,8
6,8,9,8,6974,6
1,8,9,8,64383,6
1,8,9,8,17646,6
1,8,9,8,286,6
1,8,9,8,7214,6
3,1,1,8,20145,9
1,1,8,9,14573,8
1,8,9,8,4379,6
1,1,8,6,15445,6
1,1,8,9,51668,6
1,8,6,6,163,6
8,6,6,6,55,8
6,6,6,8,8407,6
1,8,8,9,40246,6
1,1,8,9,18448,8
1,8,9,8,12990,6
1,8,9,9,11552,6
1,8,9,8,11371,9
8,9,8,9,24823,8
9,8,9,8,24823,6
1,8,9,8,21297,6
1,8,9,8,8316,6
1,1,8,9,41919,8
1,8,9,8,41918,6
1,8,9,8,25870,6
1,8,9,8,5885,9
8,9,8,9,10076,8
9,8,9,8,10109,9
8,9,8,9,8579,8
9,8,9,8,8614,6
1,1,8,6,20369,8
1,8,6,8,148,6
3,1,8,9,21624,8
1,8,9,8,21623,6
1,8,6,8,30432,6
1,8,9,8,9802,9
8,9,8,9,27397,8
9,8,9,8,26079,6
1,1,8,6,46176,6
1,8,6,6,46171,6
1,8,9,8,58607,6
1,8,9,8,18502,6
1,1,1,8,5941,6
3,1,8,6,6993,8
1,8,6,8,2611,9
8,6,8,9,52834,8
6,8,9,8,52834,6
1,1,8,9,18745,8
1,8,9,8,18913,6
1,8,9,8,28,9
8,9,8,9,1260,8
9,8,9,8,1240,6
8,9,8,6,22763,8
9,8,6,8,22837,9
8,6,8,9,47899,8
6,8,9,8,47898,6
1,8,6,8,126,9
8,6,8,9,5699,8
6,8,9,8,5700,6
1,1,1,8,18719,9
1,1,8,9,25882,8
1,8,9,8,7180,6
1,8,9,8,5707,9
8,9,8,9,11779,6
1,8,9,9,6995,8
8,9,9,8,6832,6
1,8,9,9,5459,8
8,9,9,8,4340,6
1,8,9,9,34870,6
1,8,9,8,8336,9
8,9,8,9,34106,6
1,8,8,8,17182,6
