"Activity1","Activity2","Activity3","Duration","Next_Activity","V6","V7"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-192412,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",193133,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-56594,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-11520,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",11520,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",397595,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",393655,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",50473,"BILLED"
"NEW","FIN","RELEASE","CODE OK","RELEASE",-37419,"CODE OK"
"FIN","RELEASE","CODE OK","RELEASE","CODE OK",-44648,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",15889,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",23200,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",23024,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",26855,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-169536,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-28799,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-387568,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",64824,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",21312,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-37855,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",203370,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",176555,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",175501,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",241560,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-128075,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-46014,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-92177,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",-234193,"CODE OK"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",25301,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",5516,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",18080,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-173876,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-4637,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",63044,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",408393,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-142096,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",70588,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-166513,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-91312,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",24244,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-176,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-532394,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",174574,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-91025,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-93672,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",109662,"BILLED"
"NEW","FIN","RELEASE","CODE OK","BILLED",297173,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",-78868,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",-82484,"REOPEN"
"CODE OK","BILLED","STORNO","REJECT","REOPEN",44367,"FIN"
"BILLED","STORNO","REJECT","REOPEN","FIN",44625,"RELEASE"
"STORNO","REJECT","REOPEN","FIN","RELEASE",-156745,"CODE OK"
"REJECT","REOPEN","FIN","RELEASE","CODE OK",176802,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",256502,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-274686,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-4653,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",125424,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-74333,"BILLED"
"NEW","CHANGE DIAGN","FIN","REOPEN","FIN",-56769,"RELEASE"
"CHANGE DIAGN","FIN","REOPEN","FIN","RELEASE",76011,"CODE OK"
"FIN","REOPEN","FIN","RELEASE","CODE OK",67612,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-40349,"BILLED"
"NEW","FIN","RELEASE","FIN","RELEASE",276919,"MANUAL"
"FIN","RELEASE","FIN","RELEASE","MANUAL",-5676,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-58151,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-130404,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",663605,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",569653,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",569575,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",566374,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",559003,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK","CODE OK",1,"REOPEN"
"FIN","RELEASE","CODE OK","CODE OK","REOPEN",35511,"FIN"
"RELEASE","CODE OK","CODE OK","REOPEN","FIN",-629046,"RELEASE"
"CODE OK","CODE OK","REOPEN","FIN","RELEASE",-627881,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-494818,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-125451,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",8250,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",5771,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",-333233,"BILLED"
"CODE OK","BILLED","STORNO","REJECT","BILLED",278116,"STORNO"
"BILLED","STORNO","REJECT","BILLED","STORNO",43235,"REJECT"
"STORNO","REJECT","BILLED","STORNO","REJECT",-90856,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-11411,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-2578,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",7238,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-125771,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",185533,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",26410,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",-84825,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",48628,"BILLED"
"NEW","FIN","RELEASE","CODE OK","RELEASE",-6118,"CODE OK"
"FIN","RELEASE","CODE OK","RELEASE","CODE OK",-8883,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",364538,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",306371,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",25920,"BILLED"
"RELEASE","CODE OK","BILLED","STORNO","BILLED",25920,"STORNO"
"CODE OK","BILLED","STORNO","BILLED","STORNO",-542443,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",2880,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",2880,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",1008,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",-17273,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",308,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",7079,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-517971,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",-515385,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",-560412,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",-533105,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-545705,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-2880,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",362958,"BILLED"
"NEW","FIN","RELEASE","CODE OK","BILLED",-381637,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",-384921,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-181347,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-372653,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-43613,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-13292,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",249835,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-86667,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-31591,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-1647,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",334776,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-155021,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",-37804,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",-176747,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",137723,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",277056,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-18703,"REOPEN"
"REOPEN","FIN","RELEASE","CODE OK","REOPEN",-140196,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",-5844,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",-10064,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-146528,"REOPEN"
"REOPEN","FIN","RELEASE","CODE OK","REOPEN",276981,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",1433,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",-133269,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-86450,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",63377,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE NOK",73599,"CODE NOK"
"CHANGE DIAGN","FIN","RELEASE","CODE NOK","CODE NOK",2772,"CODE OK"
"FIN","RELEASE","CODE NOK","CODE NOK","CODE OK",-44099,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",8341,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-43071,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",-86731,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",-45013,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",-50583,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-89475,"REOPEN"
"REOPEN","FIN","RELEASE","CODE OK","REOPEN",294450,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-11520,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-149458,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",1508,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-434251,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-167915,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-135830,"BILLED"
"NEW","CHANGE DIAGN","CHANGE END","FIN","REOPEN",382557,"FIN"
"CHANGE DIAGN","CHANGE END","FIN","REOPEN","FIN",382940,"RELEASE"
"CHANGE END","FIN","REOPEN","FIN","RELEASE",385772,"CODE OK"
"FIN","REOPEN","FIN","RELEASE","CODE OK",384108,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",658507,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",276696,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",295602,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-173204,"BILLED"
"NEW","FIN","RELEASE","CODE OK","RELEASE",-355704,"CODE OK"
"FIN","RELEASE","CODE OK","RELEASE","CODE OK",-357178,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",202312,"REOPEN"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","REOPEN",-79265,"FIN"
"FIN","RELEASE","CODE OK","REOPEN","FIN",-85738,"RELEASE"
"RELEASE","CODE OK","REOPEN","FIN","RELEASE",-81229,"CODE OK"
"CODE OK","REOPEN","FIN","RELEASE","CODE OK",-76938,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-124110,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",154362,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-22146,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",88424,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-81098,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-40686,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",1073,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",-137827,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",137391,"BILLED"
"RELEASE","CODE OK","BILLED","STORNO","BILLED",201462,"STORNO"
"CODE OK","BILLED","STORNO","BILLED","STORNO",201414,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",657990,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",123419,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",139234,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",241526,"CODE OK"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE","CODE OK",246477,"BILLED"
"CHANGE DIAGN","FIN","RELEASE","CODE OK","BILLED",45094,"STORNO"
"FIN","RELEASE","CODE OK","BILLED","STORNO",44962,"REJECT"
"RELEASE","CODE OK","BILLED","STORNO","REJECT",74553,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE","CODE OK",-116465,"BILLED"
"NEW","NEW","NEW","NEW","NEW",-147930,"NEW"
"NEW","NEW","NEW","NEW","NEW",184190,"NEW"
"NEW","NEW","NEW","NEW","NEW",41808,"NEW"
"NEW","NEW","NEW","NEW","NEW",-89812,"NEW"
"NEW","NEW","NEW","NEW","NEW",41470,"NEW"
"NEW","NEW","NEW","NEW","NEW",35844,"NEW"
"NEW","NEW","NEW","NEW","NEW",-4424,"NEW"
"NEW","NEW","NEW","NEW","NEW",275482,"NEW"
"NEW","NEW","NEW","NEW","NEW",-51512,"NEW"
"NEW","NEW","NEW","NEW","NEW",-133132,"NEW"
"NEW","NEW","NEW","NEW","NEW",19869,"NEW"
"NEW","NEW","NEW","NEW","NEW",14454,"NEW"
"NEW","NEW","NEW","NEW","NEW",-123021,"NEW"
"NEW","NEW","NEW","NEW","NEW",214137,"NEW"
"NEW","NEW","NEW","NEW","NEW",-50008,"NEW"
"NEW","NEW","NEW","NEW","NEW",-184922,"NEW"
"NEW","NEW","NEW","NEW","NEW",-578,"NEW"
"NEW","NEW","NEW","NEW","NEW",-49,"NEW"
"NEW","NEW","NEW","NEW","NEW",-10164,"NEW"
"NEW","NEW","NEW","NEW","NEW",214131,"NEW"
"NEW","NEW","NEW","NEW","NEW",-5422,"NEW"
"NEW","NEW","NEW","NEW","NEW",-190327,"NEW"
"NEW","NEW","NEW","NEW","NEW",-58372,"NEW"
"NEW","NEW","NEW","NEW","NEW",-57981,"NEW"
"NEW","NEW","NEW","NEW","NEW",-63793,"NEW"
"NEW","NEW","NEW","NEW","NEW",295535,"NEW"
"NEW","NEW","NEW","NEW","NEW",26097,"NEW"
"NEW","NEW","NEW","NEW","NEW",-101049,"NEW"
"NEW","NEW","NEW","NEW","NEW",-29068,"NEW"
"NEW","NEW","NEW","NEW","NEW",-33365,"NEW"
"NEW","NEW","NEW","NEW","NEW",-182800,"NEW"
"NEW","NEW","NEW","NEW","NEW",175051,"NEW"
"NEW","NEW","NEW","NEW","NEW",-5502,"NEW"
"NEW","NEW","NEW","NEW","NEW",-77922,"NEW"
"NEW","NEW","NEW","NEW","NEW",54698,"NEW"
"NEW","NEW","NEW","NEW","NEW",46216,"NEW"
"NEW","NEW","NEW","NEW","NEW",-37908,"NEW"
"NEW","NEW","NEW","NEW","NEW",295446,"NEW"
"NEW","NEW","NEW","NEW","NEW",-27305,"NEW"
"NEW","NEW","NEW","NEW","NEW",-159978,"NEW"
"NEW","NEW","NEW","NEW","NEW",-96779,"NEW"
"NEW","NEW","NEW","NEW","NEW",-101006,"NEW"
"NEW","NEW","NEW","NEW","NEW",-253233,"NEW"
"NEW","NEW","NEW","NEW","NEW",658166,"NEW"
"NEW","NEW","NEW","NEW","NEW",3756,"NEW"
"NEW","NEW","NEW","NEW","NEW",-59738,"NEW"
"NEW","NEW","NEW","NEW","NEW",71882,"NEW"
"NEW","NEW","NEW","NEW","NEW",66216,"NEW"
"NEW","NEW","NEW","NEW","NEW",-516402,"NEW"
"NEW","NEW","NEW","NEW","NEW",275609,"NEW"
"NEW","NEW","NEW","NEW","NEW",33132,"NEW"
"NEW","NEW","NEW","NEW","NEW",-98550,"NEW"
"NEW","NEW","NEW","NEW","NEW",22838,"NEW"
"NEW","NEW","NEW","NEW","NEW",16955,"NEW"
"NEW","NEW","NEW","NEW","NEW",-113377,"NEW"
"NEW","NEW","NEW","NEW","NEW",139868,"NEW"
"NEW","NEW","NEW","NEW","NEW",139868,"NEW"
"NEW","NEW","NEW","NEW","NEW",18861,"NEW"
"NEW","NEW","NEW","NEW","NEW",24895,"NEW"
"NEW","NEW","NEW","NEW","NEW",17628,"NEW"
"NEW","NEW","NEW","NEW","NEW",6860,"NEW"
"NEW","NEW","NEW","NEW","NEW",6860,"NEW"
"NEW","NEW","NEW","NEW","NEW",6184,"NEW"
"NEW","NEW","NEW","NEW","NEW",2,"NEW"
"NEW","NEW","NEW","NEW","NEW",5949,"NEW"
"NEW","NEW","NEW","NEW","NEW",-182383,"NEW"
"NEW","NEW","NEW","NEW","NEW",-182382,"NEW"
"NEW","NEW","NEW","NEW","NEW",-49402,"NEW"
"NEW","NEW","NEW","NEW","NEW",-49330,"NEW"
"NEW","NEW","NEW","NEW","NEW",-50665,"NEW"
"NEW","NEW","NEW","NEW","NEW",275255,"NEW"
"NEW","NEW","NEW","NEW","NEW",34609,"NEW"
"NEW","NEW","NEW","NEW","NEW",-98370,"NEW"
"NEW","NEW","NEW","NEW","NEW",32892,"NEW"
"NEW","NEW","NEW","NEW","NEW",28573,"NEW"
"NEW","NEW","NEW","NEW","NEW",-103044,"NEW"
"NEW","NEW","NEW","NEW","NEW",215223,"NEW"
"NEW","NEW","NEW","NEW","NEW",-33033,"NEW"
"NEW","NEW","NEW","NEW","NEW",-164115,"NEW"
"NEW","NEW","NEW","NEW","NEW",-102539,"NEW"
"NEW","NEW","NEW","NEW","NEW",-108448,"NEW"
"NEW","NEW","NEW","NEW","NEW",-177291,"NEW"
"NEW","NEW","NEW","NEW","NEW",275118,"NEW"
"NEW","NEW","NEW","NEW","NEW",301890,"NEW"
"NEW","NEW","NEW","NEW","NEW",240028,"NEW"
"NEW","NEW","NEW","NEW","NEW",239967,"NEW"
"NEW","NEW","NEW","NEW","NEW",271536,"NEW"
"NEW","NEW","NEW","NEW","NEW",67458,"NEW"
"NEW","NEW","NEW","NEW","NEW",40493,"NEW"
"NEW","NEW","NEW","NEW","NEW",129698,"NEW"
"NEW","NEW","NEW","NEW","NEW",145280,"NEW"
"NEW","NEW","NEW","NEW","NEW",104994,"NEW"
"NEW","NEW","NEW","NEW","NEW",105189,"NEW"
"NEW","NEW","NEW","NEW","NEW",113811,"NEW"
"NEW","NEW","NEW","NEW","NEW",-405745,"NEW"
"NEW","NEW","NEW","NEW","NEW",102874,"NEW"
"NEW","NEW","NEW","NEW","NEW",-458828,"NEW"
"NEW","NEW","NEW","NEW","NEW",-417710,"NEW"
"NEW","NEW","NEW","NEW","NEW",-361256,"NEW"
"NEW","NEW","NEW","NEW","NEW",69182,"NEW"
"NEW","NEW","NEW","NEW","NEW",-450397,"NEW"
"NEW","NEW","NEW","NEW","NEW",274544,"NEW"
"NEW","NEW","NEW","NEW","NEW",-6811,"NEW"
"NEW","NEW","NEW","NEW","NEW",452236,"NEW"
"NEW","NEW","NEW","NEW","NEW",452433,"NEW"
"NEW","NEW","NEW","NEW","NEW",456620,"NEW"
"NEW","NEW","NEW","NEW","NEW",337919,"NEW"
"NEW","NEW","NEW","NEW","NEW",7202,"NEW"
"NEW","NEW","NEW","NEW","NEW",7200,"NEW"
"NEW","NEW","NEW","NEW","NEW",-558994,"NEW"
"NEW","NEW","NEW","NEW","NEW",-439803,"NEW"
"NEW","NEW","NEW","NEW","NEW",-464733,"NEW"
"NEW","NEW","NEW","NEW","NEW",105950,"NEW"
"NEW","NEW","NEW","NEW","NEW",-516929,"NEW"
"NEW","NEW","NEW","NEW","NEW",148335,"NEW"
"NEW","NEW","NEW","NEW","NEW",20440,"NEW"
"NEW","NEW","NEW","NEW","NEW",3942,"NEW"
"NEW","NEW","NEW","NEW","NEW",195823,"NEW"
"NEW","NEW","NEW","NEW","NEW",-8632,"NEW"
"NEW","NEW","NEW","NEW","NEW",416127,"NEW"
"NEW","NEW","NEW","NEW","NEW",416313,"NEW"
"NEW","NEW","NEW","NEW","NEW",421951,"NEW"
"NEW","NEW","NEW","NEW","NEW",274679,"NEW"
"NEW","NEW","NEW","NEW","NEW",-33106,"NEW"
"NEW","NEW","NEW","NEW","NEW",-516908,"NEW"
"NEW","NEW","NEW","NEW","NEW",-518640,"NEW"
"NEW","NEW","NEW","NEW","NEW",-526564,"NEW"
"NEW","NEW","NEW","NEW","NEW",-608059,"NEW"
"NEW","NEW","NEW","NEW","NEW",28800,"NEW"
"NEW","NEW","NEW","NEW","NEW",-10083,"NEW"
"NEW","NEW","NEW","NEW","NEW",-8643,"NEW"
"NEW","NEW","NEW","NEW","NEW",401728,"NEW"
"NEW","NEW","NEW","NEW","NEW",438614,"NEW"
"NEW","NEW","NEW","NEW","NEW",-40320,"NEW"
"NEW","NEW","NEW","NEW","NEW",-27357,"NEW"
"NEW","NEW","NEW","NEW","NEW",-5757,"NEW"
"NEW","NEW","NEW","NEW","NEW",-412694,"NEW"
"NEW","NEW","NEW","NEW","NEW",-405788,"NEW"
"NEW","NEW","NEW","NEW","NEW",52397,"NEW"
"NEW","NEW","NEW","NEW","NEW",-7194,"NEW"
"NEW","NEW","NEW","NEW","NEW",495308,"NEW"
"NEW","NEW","NEW","NEW","NEW",491280,"NEW"
"NEW","NEW","NEW","NEW","NEW",493184,"NEW"
"NEW","NEW","NEW","NEW","NEW",622862,"NEW"
"NEW","NEW","NEW","NEW","NEW",46099,"NEW"
"NEW","NEW","NEW","NEW","NEW",-398217,"NEW"
"NEW","NEW","NEW","NEW","NEW",-482515,"NEW"
