"Activity1","Activity2","Activity3","Duration","Next_Activity","V6"
"NEW","CHANGE DIAGN","FIN","RELEASE",-135283,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-142422,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-211330,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",61004,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",-5764,"BILLED"
"BILLED","STORNO","REJECT","BILLED",129388,"STORNO"
"STORNO","REJECT","BILLED","STORNO",118804,"REJECT"
"REJECT","BILLED","STORNO","REJECT",79946,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-255314,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",60944,"BILLED"
"NEW","FIN","RELEASE","CODE OK",36369,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",528845,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-557661,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-487073,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-487077,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-138663,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-137653,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-334235,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",31776,"BILLED"
"NEW","FIN","RELEASE","CODE OK",491171,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-531722,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-1000,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-529309,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-238115,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",189819,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",56162,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-83594,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",560190,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",538842,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-535624,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-66151,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",11250,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",397280,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",391664,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",372300,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",4777,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",580632,"BILLED"
"NEW","FIN","RELEASE","CODE OK",670893,"RELEASE"
"FIN","RELEASE","CODE OK","RELEASE",-568730,"CODE OK"
"RELEASE","CODE OK","RELEASE","CODE OK",-44955,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",528561,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-508128,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",22965,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",21036,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",24534,"BILLED"
"NEW","FIN","RELEASE","CODE OK",16148,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-367266,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",347442,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",580417,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-560125,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-480620,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-398048,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",64788,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",56182,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-5676,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",559830,"BILLED"
"NEW","FIN","RELEASE","CODE OK",137691,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-168050,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-38428,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-124514,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-78379,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",133522,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",176406,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",175475,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",167010,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",144573,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-197923,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",277035,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-174801,"BILLED"
"NEW","FIN","RELEASE","CODE OK",177618,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-92529,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-234281,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",91797,"CODE OK"
"NEW","FIN","RELEASE","CODE OK",-105718,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-63759,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",25045,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",297190,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-122985,"BILLED"
"NEW","FIN","RELEASE","CODE OK",479597,"BILLED"
"NEW","FIN","RELEASE","CODE OK",104715,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",18080,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-21292,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-176748,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137641,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-7509,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137608,"BILLED"
"NEW","FIN","RELEASE","CODE OK",16015,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-408510,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-71035,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",58565,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-51852,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",404251,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",507554,"BILLED"
"NEW","FIN","RELEASE","CODE OK",137541,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-144965,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",137661,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-279960,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",64769,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",128779,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-122103,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-166514,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-205881,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-91313,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-91607,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",21374,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-130401,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-3438,"BILLED"
"NEW","FIN","RELEASE","CODE OK",364121,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-532394,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",40120,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",174573,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-174772,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-93899,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-234346,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",101572,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",8090,"BILLED"
"NEW","FIN","RELEASE","CODE OK",92869,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",215366,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-82484,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",-89838,"REOPEN"
"BILLED","STORNO","REJECT","REOPEN",44275,"FIN"
"STORNO","REJECT","REOPEN","FIN",-159679,"RELEASE"
"REJECT","REOPEN","FIN","RELEASE",137489,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",176802,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",251176,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",256389,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-282510,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",14526,"BILLED"
"NEW","FIN","RELEASE","CODE OK",158415,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-4654,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-4889,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",125424,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-88549,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-215073,"BILLED"
"NEW","CHANGE DIAGN","FIN","REOPEN",-56769,"FIN"
"CHANGE DIAGN","FIN","REOPEN","FIN",-57169,"RELEASE"
"FIN","REOPEN","FIN","RELEASE",67317,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-140689,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-40644,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-179593,"BILLED"
"NEW","FIN","RELEASE","FIN",137535,"RELEASE"
"FIN","RELEASE","FIN","RELEASE",276918,"MANUAL"
"RELEASE","FIN","RELEASE","MANUAL",-135770,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE",-126134,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-58277,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-160427,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-137655,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-138590,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",104603,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",569652,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",569575,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",566374,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",559003,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",1,"CODE OK"
"FIN","RELEASE","CODE OK","CODE OK",0,"REOPEN"
"RELEASE","CODE OK","CODE OK","REOPEN",35511,"FIN"
"CODE OK","CODE OK","REOPEN","FIN",-629046,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-627881,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-494818,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-177812,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-125451,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-125841,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",5381,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-336102,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",137350,"BILLED"
"BILLED","STORNO","REJECT","BILLED",278116,"STORNO"
"STORNO","REJECT","BILLED","STORNO",-90856,"REJECT"
"REJECT","BILLED","STORNO","REJECT",-91246,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-174924,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",277095,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-213814,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",73670,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-20952,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-62238,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-55471,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-28091,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",295900,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-125772,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-126121,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",137582,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",165553,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-85175,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-85232,"REJECT"
"CODE OK","BILLED","STORNO","REJECT",43018,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-135422,"RELEASE"
"FIN","RELEASE","CODE OK","RELEASE",-8988,"CODE OK"
"RELEASE","CODE OK","RELEASE","CODE OK",-149584,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",360110,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",223790,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",617932,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-504826,"BILLED"
"CODE OK","BILLED","STORNO","BILLED",25743,"STORNO"
"BILLED","STORNO","BILLED","STORNO",-546871,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-519195,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",2646,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-7649,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-43724,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",557417,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-521767,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",6845,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-527707,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",83894,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-567225,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-515772,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",-567665,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-560105,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",56160,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",10080,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-18720,"BILLED"
"NEW","FIN","RELEASE","CODE OK",40322,"BILLED"
"NEW","FIN","RELEASE","CODE OK",27360,"BILLED"
"NEW","FIN","RELEASE","CODE OK",34695,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-518180,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-160957,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",362904,"BILLED"
"NEW","FIN","RELEASE","CODE NOK",25757,"SET STATUS"
"NEW","FIN","RELEASE","CODE OK",-381710,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",-390775,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",-430606,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",493215,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-181347,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-372696,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-372681,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",276728,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-43613,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-21116,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",13136,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",3,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",249833,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-86667,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-87108,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-178044,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-32025,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-170894,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-108637,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-201470,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",271617,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",172407,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-310555,"BILLED"
"NEW","CHANGE DIAGN","CHANGE DIAGN","FIN",-166599,"RELEASE"
"CHANGE DIAGN","CHANGE DIAGN","FIN","RELEASE",-159306,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-177097,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",133430,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",137723,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",265478,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-140205,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-140546,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",-10137,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-149397,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",137653,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",276972,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",-133269,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-133342,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-89319,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-55568,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",58998,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",60037,"CODE NOK"
"CHANGE DIAGN","FIN","RELEASE","CODE NOK",73598,"CODE NOK"
"FIN","RELEASE","CODE NOK","CODE NOK",-51383,"CODE OK"
"RELEASE","CODE NOK","CODE NOK","CODE OK",-44138,"BILLED"
"NEW","FIN","RELEASE","CODE OK",276971,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",477907,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-110170,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",184251,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-174814,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-87081,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",-50989,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-96765,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",137847,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",206367,"DELETE"
"NEW","CHANGE DIAGN","FIN","RELEASE",557827,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-543706,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-562425,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-149635,"BILLED"
"NEW","FIN","RELEASE","CODE OK",145634,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-560029,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",295712,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-30746,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-434251,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-434820,"BILLED"
"NEW","FIN","RELEASE","CODE OK",5970,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-173880,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",138011,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-166713,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-135830,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-136180,"BILLED"
"NEW","CHANGE DIAGN","CHANGE END","FIN",-31103,"REOPEN"
"CHANGE DIAGN","CHANGE END","FIN","REOPEN",382518,"FIN"
"CHANGE END","FIN","REOPEN","FIN",378540,"RELEASE"
"FIN","REOPEN","FIN","RELEASE",349281,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",456141,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",69843,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",658507,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",137371,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",216337,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",137353,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",295602,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-173204,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-173554,"BILLED"
"NEW","FIN","RELEASE","CODE OK",242380,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-356111,"RELEASE"
"FIN","RELEASE","CODE OK","RELEASE",-360030,"CODE OK"
"RELEASE","CODE OK","RELEASE","CODE OK",137351,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-243086,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",14365,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",194610,"REOPEN"
"FIN","RELEASE","CODE OK","REOPEN",-85738,"FIN"
"RELEASE","CODE OK","REOPEN","FIN",-85868,"RELEASE"
"CODE OK","REOPEN","FIN","RELEASE",-81289,"CODE OK"
"REOPEN","FIN","RELEASE","CODE OK",-264885,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",180223,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-140006,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",151280,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",28863,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-151942,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-22233,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",86643,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",81171,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-81487,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-158239,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-43612,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-170608,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-43555,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",-131539,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",-138268,"BILLED"
"FIN","RELEASE","CODE OK","BILLED",133101,"STORNO"
"RELEASE","CODE OK","BILLED","STORNO",137391,"BILLED"
"CODE OK","BILLED","STORNO","BILLED",201414,"STORNO"
"BILLED","STORNO","BILLED","STORNO",68802,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-157189,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-96746,"BILLED"
"NEW","FIN","RELEASE","CODE OK",219390,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",69281,"CODE OK"
"CHANGE DIAGN","FIN","RELEASE","CODE OK",657466,"BILLED"
"NEW","FIN","RELEASE","CODE OK",162396,"BILLED"
"NEW","FIN","RELEASE","CODE OK",-277776,"BILLED"
"NEW","CHANGE DIAGN","FIN","RELEASE",117448,"CODE OK"
